"T","p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
298.05,1.2524e-06,0,0,0,0.001,0,0.0005
298.01,-7.4963e-11,0,0,0,0,0,0.0005
298.05,7.9315e-07,8.7525e-05,-8.3678e-05,0,0.001,0.001,0.0005
298,-6.8174e-07,0,0,0,0,0.001,0.0005
298.11,3.1572e-06,0,0,0,0.002,0,0.0005
298.11,2.9984e-06,0.00030209,-0.0001768,0,0.002,0.001,0.0005
298.16,3.3136e-06,0,0,0,0.003,0,0.0005
298.16,3.3012e-06,0.00066126,-0.00025547,0,0.003,0.001,0.0005
298.21,8.4359e-07,0,0,0,0.004,0,0.0005
298.21,1.022e-06,0.0011339,-0.00031805,0,0.004,0.001,0.0005
298.25,-4.8875e-06,0,0,0,0.005,0,0.0005
298.26,-4.4065e-06,0.001697,-0.0003657,0,0.005,0.001,0.0005
298.3,-1.442e-05,0,0,0,0.006,0,0.0005
298.3,-1.3521e-05,0.0023296,-0.00039796,0,0.006,0.001,0.0005
298.34,-2.8129e-05,0,0,0,0.007,0,0.0005
298.34,-2.6695e-05,0.0030091,-0.00041383,0,0.007,0.001,0.0005
298.38,-4.6186e-05,0,0,0,0.008,0,0.0005
298.39,-4.4098e-05,0.0037115,-0.00041269,0,0.008,0.001,0.0005
298.42,-6.8535e-05,0,0,0,0.009,0,0.0005
298.42,-6.5675e-05,0.0044128,-0.00039472,0,0.009,0.001,0.0005
298.46,-9.4893e-05,0,0,0,0.01,0,0.0005
298.46,-9.1148e-05,0.0050897,-0.0003611,0,0.01,0.001,0.0005
298.49,-0.00012477,0,0,0,0.011,0,0.0005
298.5,-0.00012003,0.0057212,-0.00031396,0,0.011,0.001,0.0005
298.52,-0.00015749,0,0,0,0.012,0,0.0005
298.53,-0.00015167,0.0062893,-0.00025615,0,0.012,0.001,0.0005
298.56,-0.00019228,0,0,0,0.013,0,0.0005
298.56,-0.00018531,0.0067798,-0.00019099,0,0.013,0.001,0.0005
298.59,-0.00022832,0,0,0,0.014,0,0.0005
298.59,-0.00022013,0.0071829,-0.00012204,0,0.014,0.001,0.0005
298.61,-0.00026477,0,0,0,0.015,0,0.0005
298.62,-0.0002553,0.0074929,-5.2664e-05,0,0.015,0.001,0.0005
298.64,-0.00030082,0,0,0,0.016,0,0.0005
298.64,-0.00029008,0.007708,1.4723e-05,0,0.016,0.001,0.0005
298.66,-0.00033573,0,0,0,0.017,0,0.0005
298.67,-0.00032377,0.0078304,7.8507e-05,0,0.017,0.001,0.0005
298.69,-0.00036893,0,0,0,0.018,0,0.0005
298.69,-0.00035581,0.0078652,0.00013699,0,0.018,0.001,0.0005
298.71,-0.00039997,0,0,0,0.019,0,0.0005
298.71,-0.00038577,0.0078194,0.0001888,0,0.019,0.001,0.0005
298.73,-0.00042854,0,0,0,0.02,0,0.0005
