"T","p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
298.07,1.5755e-06,0,0,0,0.001,0,0.0005
298.02,-1.4689e-11,0,0,0,0,0,0.0005
298.07,1.0942e-06,0.00012018,-0.00011571,0,0.001,0.001,0.0005
298,-7.855e-07,0,0,0,0,0.001,0.0005
298.15,3.8136e-06,0,0,0,0.002,0,0.0005
298.15,3.766e-06,0.00040728,-0.00023848,0,0.002,0.001,0.0005
298.22,3.4918e-06,0,0,0,0.003,0,0.0005
298.22,3.6963e-06,0.00088409,-0.00034178,0,0.003,0.001,0.0005
298.29,-5.9131e-07,0,0,0,0.004,0,0.0005
298.29,-7.0725e-08,0.0015097,-0.00042422,0,0.004,0.001,0.0005
298.35,-9.3495e-06,0,0,0,0.005,0,0.0005
298.35,-8.3675e-06,0.0022534,-0.00048645,0,0.005,0.001,0.0005
298.41,-2.3573e-05,0,0,0,0.006,0,0.0005
298.41,-2.1979e-05,0.0030864,-0.00052678,0,0.006,0.001,0.0005
298.47,-4.3791e-05,0,0,0,0.007,0,0.0005
298.47,-4.1432e-05,0.0039764,-0.00054311,0,0.007,0.001,0.0005
298.52,-7.0196e-05,0,0,0,0.008,0,0.0005
298.53,-6.6912e-05,0.0048888,-0.00053436,0,0.008,0.001,0.0005
298.58,-0.00010261,0,0,0,0.009,0,0.0005
298.58,-9.8237e-05,0.005789,-0.00050111,0,0.009,0.001,0.0005
298.62,-0.00014047,0,0,0,0.01,0,0.0005
298.63,-0.00013486,0.0066443,-0.00044567,0,0.01,0.001,0.0005
298.67,-0.00018291,0,0,0,0.011,0,0.0005
298.68,-0.00017592,0.0074256,-0.00037189,0,0.011,0.001,0.0005
298.71,-0.00022881,0,0,0,0.012,0,0.0005
298.72,-0.00022033,0.0081093,-0.00028468,0,0.012,0.001,0.0005
298.75,-0.00027694,0,0,0,0.013,0,0.0005
298.76,-0.00026684,0.0086778,-0.00018953,0,0.013,0.001,0.0005
298.79,-0.000326,0,0,0,0.014,0,0.0005
298.8,-0.00031421,0.0091204,-9.1929e-05,0,0.014,0.001,0.0005
298.83,-0.00037476,0,0,0,0.015,0,0.0005
298.83,-0.00036122,0.0094324,3.6785e-06,0,0.015,0.001,0.0005
298.86,-0.00042202,0,0,0,0.016,0,0.0005
298.87,-0.0004068,0.0096153,9.4392e-05,0,0.016,0.001,0.0005
298.9,-0.00046687,0,0,0,0.017,0,0.0005
298.9,-0.00045005,0.0096756,0.00017764,0,0.017,0.001,0.0005
298.93,-0.00050861,0,0,0,0.018,0,0.0005
298.93,-0.00049028,0.009623,0.00025114,0,0.018,0.001,0.0005
298.95,-0.00054673,0,0,0,0.019,0,0.0005
298.96,-0.00052704,0.0094703,0.00031386,0,0.019,0.001,0.0005
298.98,-0.00058094,0,0,0,0.02,0,0.0005
298.98,-0.00056004,0.0092318,0.00036533,0,0.02,0.001,0.0005
299.01,-0.00061118,0,0,0,0.021,0,0.0005
299.01,-0.00058918,0.0089228,0.00040528,0,0.021,0.001,0.0005
299.03,-0.00063747,0,0,0,0.022,0,0.0005
299.03,-0.00061451,0.0085581,0.00043416,0,0.022,0.001,0.0005
299.05,-0.00065998,0,0,0,0.023,0,0.0005
299.05,-0.00063618,0.0081522,0.000453,0,0.023,0.001,0.0005
299.07,-0.00067894,0,0,0,0.024,0,0.0005
299.07,-0.00065443,0.0077183,0.00046311,0,0.024,0.001,0.0005
299.09,-0.00069465,0,0,0,0.025,0,0.0005
299.09,-0.00066955,0.0072684,0.00046585,0,0.025,0.001,0.0005
299.11,-0.00070744,0,0,0,0.026,0,0.0005
299.11,-0.00068185,0.0068128,0.00046256,0,0.026,0.001,0.0005
299.13,-0.00071767,0,0,0,0.027,0,0.0005
299.13,-0.00069168,0.0063602,0.0004545,0,0.027,0.001,0.0005
299.14,-0.00072566,0,0,0,0.028,0,0.0005
299.15,-0.00069936,0.0059176,0.0004428,0,0.028,0.001,0.0005
299.16,-0.00073174,0,0,0,0.029,0,0.0005
299.16,-0.0007052,0.0054907,0.00042846,0,0.029,0.001,0.0005
299.17,-0.00073622,0,0,0,0.03,0,0.0005
299.17,-0.0007095,0.0050836,0.00041235,0,0.03,0.001,0.0005
299.19,-0.00073938,0,0,0,0.031,0,0.0005
299.19,-0.00071251,0.0046994,0.00039524,0,0.031,0.001,0.0005
299.2,-0.00074144,0,0,0,0.032,0,0.0005
299.2,-0.00071446,0.0043399,0.00037793,0,0.032,0.001,0.0005
299.21,-0.00074261,0,0,0,0.033,0,0.0005
299.21,-0.00071557,0.0040062,0.00036102,0,0.033,0.001,0.0005
299.23,-0.00074308,0,0,0,0.034,0,0.0005
299.23,-0.00071602,0.0036988,0.00034475,0,0.034,0.001,0.0005
299.24,-0.00074303,0,0,0,0.035,0,0.0005
299.24,-0.00071595,0.0034174,0.0003292,0,0.035,0.001,0.0005
299.25,-0.00074259,0,0,0,0.036,0,0.0005
299.25,-0.00071549,0.0031613,0.00031449,0,0.036,0.001,0.0005
299.26,-0.00074186,0,0,0,0.037,0,0.0005
299.26,-0.00071476,0.0029296,0.00030068,0,0.037,0.001,0.0005
299.27,-0.00074094,0,0,0,0.038,0,0.0005
299.27,-0.00071384,0.0027211,0.00028784,0,0.038,0.001,0.0005
299.28,-0.0007399,0,0,0,0.039,0,0.0005
299.28,-0.0007128,0.0025345,0.00027598,0,0.039,0.001,0.0005
299.29,-0.00073881,0,0,0,0.04,0,0.0005
299.29,-0.0007117,0.0023684,0.00026508,0,0.04,0.001,0.0005
299.29,-0.00073771,0,0,0,0.041,0,0.0005
299.29,-0.00071059,0.0022214,0.00025512,0,0.041,0.001,0.0005
299.3,-0.00073664,0,0,0,0.042,0,0.0005
299.3,-0.00070951,0.0020921,0.00024606,0,0.042,0.001,0.0005
299.31,-0.00073563,0,0,0,0.043,0,0.0005
299.31,-0.00070848,0.0019791,0.00023783,0,0.043,0.001,0.0005
299.32,-0.00073471,0,0,0,0.044,0,0.0005
299.32,-0.00070753,0.0018811,0.00023039,0,0.044,0.001,0.0005
299.32,-0.00073388,0,0,0,0.045,0,0.0005
299.32,-0.00070669,0.0017969,0.00022366,0,0.045,0.001,0.0005
299.33,-0.00073318,0,0,0,0.046,0,0.0005
299.33,-0.00070595,0.0017254,0.0002176,0,0.046,0.001,0.0005
299.34,-0.00073261,0,0,0,0.047,0,0.0005
299.34,-0.00070534,0.0016655,0.00021215,0,0.047,0.001,0.0005
299.35,-0.00073218,0,0,0,0.048,0,0.0005
299.35,-0.00070486,0.0016161,0.00020726,0,0.048,0.001,0.0005
299.35,-0.00073189,0,0,0,0.049,0,0.0005
299.35,-0.00070453,0.0015764,0.00020289,0,0.049,0.001,0.0005
299.36,-0.00073175,0,0,0,0.05,0,0.0005
299.36,-0.00070434,0.0015455,0.000199,0,0.05,0.001,0.0005
299.36,-0.00073176,0,0,0,0.051,0,0.0005
299.36,-0.00070429,0.0015226,0.00019555,0,0.051,0.001,0.0005
299.37,-0.00073194,0,0,0,0.052,0,0.0005
299.37,-0.0007044,0.0015072,0.00019249,0,0.052,0.001,0.0005
299.38,-0.00073227,0,0,0,0.053,0,0.0005
299.38,-0.00070467,0.0014986,0.00018974,0,0.053,0.001,0.0005
299.38,-0.00073277,0,0,0,0.054,0,0.0005
299.38,-0.0007051,0.0014961,0.00018722,0,0.054,0.001,0.0005
299.39,-0.00073343,0,0,0,0.055,0,0.0005
299.39,-0.0007057,0.0014992,0.00018499,0,0.055,0.001,0.0005
299.39,-0.00073426,0,0,0,0.056,0,0.0005
299.39,-0.00070646,0.0015072,0.00018304,0,0.056,0.001,0.0005
299.4,-0.00073526,0,0,0,0.057,0,0.0005
299.4,-0.00070739,0.0015197,0.00018132,0,0.057,0.001,0.0005
299.4,-0.00073643,0,0,0,0.058,0,0.0005
299.4,-0.00070849,0.0015362,0.00017983,0,0.058,0.001,0.0005
299.41,-0.00073777,0,0,0,0.059,0,0.0005
299.41,-0.00070975,0.0015564,0.00017858,0,0.059,0.001,0.0005
299.42,-0.00073927,0,0,0,0.06,0,0.0005
299.42,-0.00071117,0.0015798,0.00017756,0,0.06,0.001,0.0005
299.42,-0.00074095,0,0,0,0.061,0,0.0005
299.42,-0.00071277,0.0016061,0.00017676,0,0.061,0.001,0.0005
299.43,-0.00074279,0,0,0,0.062,0,0.0005
299.43,-0.00071452,0.001635,0.00017616,0,0.062,0.001,0.0005
299.43,-0.0007448,0,0,0,0.063,0,0.0005
299.43,-0.00071645,0.0016661,0.00017574,0,0.063,0.001,0.0005
299.44,-0.00074698,0,0,0,0.064,0,0.0005
299.44,-0.00071854,0.0016991,0.00017548,0,0.064,0.001,0.0005
299.44,-0.00074933,0,0,0,0.065,0,0.0005
299.44,-0.00072079,0.0017338,0.00017535,0,0.065,0.001,0.0005
299.45,-0.00075184,0,0,0,0.066,0,0.0005
299.45,-0.0007232,0.00177,0.00017534,0,0.066,0.001,0.0005
299.45,-0.00075451,0,0,0,0.067,0,0.0005
299.45,-0.00072577,0.0018076,0.00017542,0,0.067,0.001,0.0005
299.46,-0.00075734,0,0,0,0.068,0,0.0005
299.46,-0.0007285,0.0018462,0.00017555,0,0.068,0.001,0.0005
299.47,-0.00076033,0,0,0,0.069,0,0.0005
299.47,-0.00073139,0.001886,0.0001757,0,0.069,0.001,0.0005
299.47,-0.00076348,0,0,0,0.07,0,0.0005
