"T","p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
298.23,3.2848e-06,0,0,0,0.001,0,0.0005
298.06,-2.3327e-08,0,0,0,0,0,0.0005
298.24,3.4019e-06,0.00034147,-0.00033946,0,0.001,0.001,0.0005
298,-8.2029e-07,0,0,0,0,0.001,0.0005
298.46,6.4389e-06,0,0,0,0.002,0,0.0005
298.47,8.0939e-06,0.0011106,-0.00066014,0,0.002,0.001,0.0005
298.67,4.4814e-07,0,0,0,0.003,0,0.0005
298.69,3.3637e-06,0.0023722,-0.00093703,0,0.003,0.001,0.0005
298.88,-1.8826e-05,0,0,0,0.004,0,0.0005
298.89,-1.4494e-05,0.0040277,-0.0011637,0,0.004,0.001,0.0005
299.07,-5.5196e-05,0,0,0,0.005,0,0.0005
299.09,-4.9159e-05,0.0059908,-0.0013243,0,0.005,0.001,0.0005
299.25,-0.00011181,0,0,0,0.006,0,0.0005
299.27,-0.00010376,0.0081605,-0.0013989,0,0.006,0.001,0.0005
299.41,-0.00019016,0,0,0,0.007,0,0.0005
299.44,-0.00017972,0.010416,-0.001375,0,0.007,0.001,0.0005
299.56,-0.00028958,0,0,0,0.008,0,0.0005
299.59,-0.00027632,0.012628,-0.001253,0,0.008,0.001,0.0005
299.71,-0.00040727,0,0,0,0.009,0,0.0005
299.74,-0.00039067,0.014679,-0.0010457,0,0.009,0.001,0.0005
299.84,-0.0005387,0,0,0,0.01,0,0.0005
299.87,-0.00051823,0.016466,-0.00077525,0,0.01,0.001,0.0005
299.96,-0.00067838,0,0,0,0.011,0,0.0005
299.99,-0.00065343,0.017918,-0.00046929,0,0.011,0.001,0.0005
300.07,-0.00082059,0,0,0,0.012,0,0.0005
300.1,-0.00079054,0.018988,-0.00015571,0,0.012,0.001,0.0005
300.18,-0.0009594,0,0,0,0.013,0,0.0005
300.21,-0.00092413,0.019662,0.00014755,0,0.013,0.001,0.0005
300.28,-0.0010899,0,0,0,0.014,0,0.0005
300.3,-0.0010496,0.019949,0.00042824,0,0.014,0.001,0.0005
300.36,-0.0012087,0,0,0,0.015,0,0.0005
300.39,-0.0011638,0.01988,0.0006742,0,0.015,0.001,0.0005
300.45,-0.0013137,0,0,0,0.016,0,0.0005
300.47,-0.0012646,0.019496,0.00087841,0,0.016,0.001,0.0005
300.52,-0.001404,0,0,0,0.017,0,0.0005
300.54,-0.0013509,0.018847,0.0010366,0,0.017,0.001,0.0005
300.6,-0.0014794,0,0,0,0.018,0,0.0005
300.61,-0.0014229,0.017987,0.0011481,0,0.018,0.001,0.0005
300.66,-0.0015406,0,0,0,0.019,0,0.0005
300.68,-0.001481,0.016971,0.0012168,0,0.019,0.001,0.0005
300.72,-0.0015886,0,0,0,0.02,0,0.0005
300.74,-0.0015264,0.015848,0.0012487,0,0.02,0.001,0.0005
300.78,-0.0016248,0,0,0,0.021,0,0.0005
300.79,-0.0015605,0.014664,0.0012508,0,0.021,0.001,0.0005
300.83,-0.0016509,0,0,0,0.022,0,0.0005
300.84,-0.0015849,0.013458,0.0012295,0,0.022,0.001,0.0005
300.88,-0.0016684,0,0,0,0.023,0,0.0005
300.89,-0.0016011,0.012263,0.001191,0,0.023,0.001,0.0005
300.93,-0.0016788,0,0,0,0.024,0,0.0005
300.94,-0.0016106,0.011104,0.0011405,0,0.024,0.001,0.0005
300.97,-0.0016837,0,0,0,0.025,0,0.0005
300.98,-0.0016147,0.010001,0.0010824,0,0.025,0.001,0.0005
301.01,-0.0016842,0,0,0,0.026,0,0.0005
301.02,-0.0016147,0.0089663,0.0010203,0,0.026,0.001,0.0005
301.05,-0.0016814,0,0,0,0.027,0,0.0005
301.05,-0.0016115,0.0080093,0.00095738,0,0.027,0.001,0.0005
301.08,-0.0016762,0,0,0,0.028,0,0.0005
