"T","p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
298.02,4.8597e-07,0,0,0,0.001,0,0.0005
298,-8.4174e-11,0,0,0,0,0,0.0005
298.02,2.314e-07,2.4181e-05,-2.2591e-05,0,0.001,0.001,0.0005
298,-3.2326e-07,0,0,0,0,0.001,0.0005
298.03,1.3798e-06,0,0,0,0.002,0,0.0005
298.03,1.1989e-06,9.1999e-05,-5.4316e-05,0,0.002,0.001,0.0005
298.05,1.9285e-06,0,0,0,0.003,0,0.0005
298.05,1.746e-06,0.00021073,-8.2611e-05,0,0.003,0.001,0.0005
298.06,1.8337e-06,0,0,0,0.004,0,0.0005
298.06,1.6542e-06,0.00037066,-0.00010548,0,0.004,0.001,0.0005
298.08,9.003e-07,0,0,0,0.005,0,0.0005
298.08,7.6009e-07,0.0005642,-0.00012341,0,0.005,0.001,0.0005
298.09,-1.0195e-06,0,0,0,0.006,0,0.0005
298.09,-1.0805e-06,0.0007848,-0.00013679,0,0.006,0.001,0.0005
298.1,-4.0298e-06,0,0,0,0.007,0,0.0005
298.1,-3.9719e-06,0.001026,-0.00014583,0,0.007,0.001,0.0005
298.12,-8.1958e-06,0,0,0,0.008,0,0.0005
298.12,-7.9801e-06,0.0012813,-0.00015064,0,0.008,0.001,0.0005
298.13,-1.3546e-05,0,0,0,0.009,0,0.0005
298.13,-1.3135e-05,0.0015444,-0.00015132,0,0.009,0.001,0.0005
298.14,-2.0071e-05,0,0,0,0.01,0,0.0005
298.14,-1.9429e-05,0.0018093,-0.000148,0,0.01,0.001,0.0005
298.15,-2.7724e-05,0,0,0,0.011,0,0.0005
298.15,-2.6818e-05,0.00207,-0.00014094,0,0.011,0.001,0.0005
298.16,-3.6426e-05,0,0,0,0.012,0,0.0005
298.16,-3.5226e-05,0.0023211,-0.00013048,0,0.012,0.001,0.0005
298.17,-4.6064e-05,0,0,0,0.013,0,0.0005
298.17,-4.4542e-05,0.0025577,-0.00011708,0,0.013,0.001,0.0005
298.18,-5.65e-05,0,0,0,0.014,0,0.0005
298.18,-5.4634e-05,0.0027755,-0.00010127,0,0.014,0.001,0.0005
298.19,-6.7578e-05,0,0,0,0.015,0,0.0005
298.19,-6.5349e-05,0.0029713,-8.3648e-05,0,0.015,0.001,0.0005
298.2,-7.9131e-05,0,0,0,0.016,0,0.0005
298.2,-7.6526e-05,0.0031423,-6.4827e-05,0,0.016,0.001,0.0005
298.21,-9.0988e-05,0,0,0,0.017,0,0.0005
298.21,-8.7997e-05,0.0032867,-4.5445e-05,0,0.017,0.001,0.0005
298.22,-0.00010299,0,0,0,0.018,0,0.0005
298.22,-9.9601e-05,0.0034036,-2.6111e-05,0,0.018,0.001,0.0005
298.23,-0.00011497,0,0,0,0.019,0,0.0005
298.23,-0.00011118,0.0034927,-7.3126e-06,0,0.019,0.001,0.0005
298.24,-0.00012677,0,0,0,0.02,0,0.0005
298.24,-0.0001226,0.0035544,1.0791e-05,0,0.02,0.001,0.0005
298.24,-0.00013825,0,0,0,0.021,0,0.0005
298.24,-0.00013372,0.0035899,2.8008e-05,0,0.021,0.001,0.0005
298.25,-0.00014931,0,0,0,0.022,0,0.0005
298.25,-0.00014444,0.0036007,4.3947e-05,0,0.022,0.001,0.0005
298.26,-0.00015987,0,0,0,0.023,0,0.0005
298.26,-0.00015468,0.0035887,5.8365e-05,0,0.023,0.001,0.0005
298.26,-0.00016986,0,0,0,0.024,0,0.0005
298.26,-0.00016437,0.0035561,7.1142e-05,0,0.024,0.001,0.0005
298.27,-0.00017923,0,0,0,0.025,0,0.0005
298.27,-0.00017347,0.0035051,8.2254e-05,0,0.025,0.001,0.0005
298.28,-0.00018795,0,0,0,0.026,0,0.0005
298.28,-0.00018194,0.0034383,9.1756e-05,0,0.026,0.001,0.0005
298.28,-0.00019599,0,0,0,0.027,0,0.0005
298.28,-0.00018976,0.0033581,9.9656e-05,0,0.027,0.001,0.0005
298.29,-0.00020338,0,0,0,0.028,0,0.0005
298.29,-0.00019695,0.0032669,0.00010595,0,0.028,0.001,0.0005
298.29,-0.00021012,0,0,0,0.029,0,0.0005
298.29,-0.00020352,0.003167,0.00011072,0,0.029,0.001,0.0005
298.3,-0.00021623,0,0,0,0.03,0,0.0005
298.3,-0.00020947,0.0030605,0.00011411,0,0.03,0.001,0.0005
298.3,-0.00022175,0,0,0,0.031,0,0.0005
298.3,-0.00021485,0.0029494,0.00011625,0,0.031,0.001,0.0005
298.31,-0.0002267,0,0,0,0.032,0,0.0005
298.31,-0.00021969,0.0028356,0.00011731,0,0.032,0.001,0.0005
298.31,-0.00023113,0,0,0,0.033,0,0.0005
298.31,-0.00022401,0.0027204,0.00011744,0,0.033,0.001,0.0005
298.32,-0.00023508,0,0,0,0.034,0,0.0005
298.32,-0.00022787,0.0026055,0.00011676,0,0.034,0.001,0.0005
298.32,-0.00023858,0,0,0,0.035,0,0.0005
298.32,-0.0002313,0.0024918,0.00011541,0,0.035,0.001,0.0005
298.32,-0.00024169,0,0,0,0.036,0,0.0005
298.32,-0.00023434,0.0023805,0.00011352,0,0.036,0.001,0.0005
298.33,-0.00024443,0,0,0,0.037,0,0.0005
298.33,-0.00023702,0.0022724,0.0001112,0,0.037,0.001,0.0005
298.33,-0.00024685,0,0,0,0.038,0,0.0005
298.33,-0.0002394,0.002168,0.00010854,0,0.038,0.001,0.0005
298.33,-0.00024899,0,0,0,0.039,0,0.0005
298.33,-0.00024149,0.002068,0.00010569,0,0.039,0.001,0.0005
298.34,-0.00025087,0,0,0,0.04,0,0.0005
298.34,-0.00024334,0.0019726,0.00010274,0,0.04,0.001,0.0005
298.34,-0.00025253,0,0,0,0.041,0,0.0005
298.34,-0.00024498,0.0018822,9.9748e-05,0,0.041,0.001,0.0005
298.34,-0.000254,0,0,0,0.042,0,0.0005
298.34,-0.00024643,0.001797,9.6739e-05,0,0.042,0.001,0.0005
298.35,-0.0002553,0,0,0,0.043,0,0.0005
298.35,-0.00024771,0.001717,9.3735e-05,0,0.043,0.001,0.0005
298.35,-0.00025646,0,0,0,0.044,0,0.0005
298.35,-0.00024886,0.0016423,9.0766e-05,0,0.044,0.001,0.0005
298.35,-0.00025751,0,0,0,0.045,0,0.0005
