"T","p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
298.12,2.1319e-06,0,0,0,0.001,0,0.0005
298.03,-1.0088e-08,0,0,0,0,0,0.0005
298.12,1.7072e-06,0.00018533,-0.00018036,0,0.001,0.001,0.0005
298,-9.0865e-07,0,0,0,0,0.001,0.0005
298.23,4.8275e-06,0,0,0,0.002,0,0.0005
298.23,5.1286e-06,0.0006147,-0.00036111,0,0.002,0.001,0.0005
298.34,3.2167e-06,0,0,0,0.003,0,0.0005
298.35,4.0215e-06,0.0013221,-0.00051355,0,0.003,0.001,0.0005
298.45,-4.6251e-06,0,0,0,0.004,0,0.0005
298.45,-3.2176e-06,0.0022484,-0.00063626,0,0.004,0.001,0.0005
298.55,-2.0279e-05,0,0,0,0.005,0,0.0005
298.55,-1.8066e-05,0.0033479,-0.00072741,0,0.005,0.001,0.0005
298.64,-4.5116e-05,0,0,0,0.006,0,0.0005
298.65,-4.1888e-05,0.0045738,-0.00078153,0,0.006,0.001,0.0005
298.73,-7.9983e-05,0,0,0,0.007,0,0.0005
298.74,-7.5516e-05,0.005872,-0.00079374,0,0.007,0.001,0.0005
298.81,-0.00012502,0,0,0,0.008,0,0.0005
298.82,-0.00011908,0.0071842,-0.00076236,0,0.008,0.001,0.0005
298.89,-0.0001796,0,0,0,0.009,0,0.0005
298.9,-0.00017194,0.0084527,-0.00068965,0,0.009,0.001,0.0005
298.96,-0.0002424,0,0,0,0.01,0,0.0005
298.97,-0.00023278,0.0096248,-0.00058153,0,0.01,0.001,0.0005
299.03,-0.00031152,0,0,0,0.011,0,0.0005
299.04,-0.00029972,0.010656,-0.00044667,0,0.011,0.001,0.0005
299.1,-0.00038473,0,0,0,0.012,0,0.0005
299.11,-0.00037054,0.011514,-0.00029534,0,0.012,0.001,0.0005
299.16,-0.00045969,0,0,0,0.013,0,0.0005
299.17,-0.00044292,0.012177,-0.00013803,0,0.013,0.001,0.0005
299.21,-0.00053408,0,0,0,0.014,0,0.0005
299.22,-0.00051465,0.012636,1.6554e-05,0,0.014,0.001,0.0005
299.27,-0.00060577,0,0,0,0.015,0,0.0005
299.27,-0.00058374,0.012892,0.0001624,0,0.015,0.001,0.0005
299.31,-0.00067309,0,0,0,0.016,0,0.0005
299.32,-0.00064858,0.012956,0.00029454,0,0.016,0.001,0.0005
299.36,-0.00073486,0,0,0,0.017,0,0.0005
299.37,-0.00070804,0.012845,0.00040915,0,0.017,0.001,0.0005
299.4,-0.00079026,0,0,0,0.018,0,0.0005
299.41,-0.00076134,0.012582,0.00050454,0,0.018,0.001,0.0005
299.44,-0.00083893,0,0,0,0.019,0,0.0005
299.45,-0.00080813,0.012189,0.00057979,0,0.019,0.001,0.0005
299.48,-0.00088085,0,0,0,0.02,0,0.0005
299.49,-0.00084837,0.011694,0.00063494,0,0.02,0.001,0.0005
299.52,-0.00091621,0,0,0,0.021,0,0.0005
299.52,-0.00088227,0.011121,0.00067154,0,0.021,0.001,0.0005
299.55,-0.00094542,0,0,0,0.022,0,0.0005
299.55,-0.00091024,0.010493,0.00069189,0,0.022,0.001,0.0005
299.58,-0.000969,0,0,0,0.023,0,0.0005
299.58,-0.00093279,0.0098323,0.00069856,0,0.023,0.001,0.0005
299.61,-0.00098757,0,0,0,0.024,0,0.0005
299.61,-0.00095051,0.0091571,0.00069413,0,0.024,0.001,0.0005
299.64,-0.0010018,0,0,0,0.025,0,0.0005
299.64,-0.00096404,0.008483,0.00068104,0,0.025,0.001,0.0005
299.66,-0.0010122,0,0,0,0.026,0,0.0005
299.66,-0.00097397,0.0078229,0.00066149,0,0.026,0.001,0.0005
299.68,-0.0010195,0,0,0,0.027,0,0.0005
299.69,-0.00098088,0.0071867,0.00063737,0,0.027,0.001,0.0005
299.71,-0.0010243,0,0,0,0.028,0,0.0005
