"T","p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
298.3,3.9525e-06,0,0,0,0.001,0,0.0005
298.08,3.4637e-10,0,0,0,0,0,0.0005
298.31,4.5772e-06,0.00042829,-0.00043122,0,0.001,0.001,0.0005
298,-5.5525e-07,0,0,0,0,0.001,0.0005
298.6,7.1428e-06,0,0,0,0.002,0,0.0005
298.61,9.8181e-06,0.0013915,-0.00083315,0,0.002,0.001,0.0005
298.88,-1.9732e-06,0,0,0,0.003,0,0.0005
298.9,2.4595e-06,0.0029727,-0.0011856,0,0.003,0.001,0.0005
299.14,-2.905e-05,0,0,0,0.004,0,0.0005
299.17,-2.2693e-05,0.0050513,-0.0014755,0,0.004,0.001,0.0005
299.39,-7.9562e-05,0,0,0,0.005,0,0.0005
299.42,-7.0977e-05,0.0075144,-0.0016744,0,0.005,0.001,0.0005
299.62,-0.00015785,0,0,0,0.006,0,0.0005
299.65,-0.00014669,0.010223,-0.0017517,0,0.006,0.001,0.0005
299.83,-0.00026557,0,0,0,0.007,0,0.0005
299.87,-0.00025138,0.013008,-0.0016913,0,0.007,0.001,0.0005
300.02,-0.00040108,0,0,0,0.008,0,0.0005
300.07,-0.00038325,0.015698,-0.0014983,0,0.008,0.001,0.0005
300.2,-0.00055957,0,0,0,0.009,0,0.0005
300.25,-0.00053735,0.018136,-0.0011966,0,0.009,0.001,0.0005
300.37,-0.00073401,0,0,0,0.01,0,0.0005
300.41,-0.0007065,0.020197,-0.00082249,0,0.01,0.001,0.0005
300.52,-0.0009163,0,0,0,0.011,0,0.0005
300.57,-0.00088248,0.021797,-0.00041787,0,0.011,0.001,0.0005
300.66,-0.0010981,0,0,0,0.012,0,0.0005
300.7,-0.0010572,0.022889,-1.8761e-05,0,0.012,0.001,0.0005
300.79,-0.0012714,0,0,0,0.013,0,0.0005
300.83,-0.0012234,0.023471,0.00035629,0,0.013,0.001,0.0005
300.91,-0.0014298,0,0,0,0.014,0,0.0005
300.95,-0.0013756,0.023575,0.00069595,0,0.014,0.001,0.0005
301.02,-0.00157,0,0,0,0.015,0,0.0005
301.05,-0.0015102,0.023248,0.00098654,0,0.015,0.001,0.0005
301.12,-0.0016904,0,0,0,0.016,0,0.0005
301.15,-0.0016254,0.022554,0.0012165,0,0.016,0.001,0.0005
301.22,-0.0017907,0,0,0,0.017,0,0.0005
301.24,-0.0017208,0.021563,0.0013808,0,0.017,0.001,0.0005
301.3,-0.0018714,0,0,0,0.018,0,0.0005
301.33,-0.0017972,0.020346,0.0014833,0,0.018,0.001,0.0005
301.38,-0.0019339,0,0,0,0.019,0,0.0005
301.4,-0.001856,0.018973,0.0015326,0,0.019,0.001,0.0005
301.46,-0.0019802,0,0,0,0.02,0,0.0005
301.47,-0.0018993,0.017507,0.0015385,0,0.02,0.001,0.0005
301.52,-0.0020125,0,0,0,0.021,0,0.0005
301.54,-0.0019292,0.016002,0.0015106,0,0.021,0.001,0.0005
301.59,-0.0020332,0,0,0,0.022,0,0.0005
301.6,-0.001948,0.014504,0.0014581,0,0.022,0.001,0.0005
301.65,-0.0020444,0,0,0,0.023,0,0.0005
301.66,-0.0019578,0.01305,0.0013886,0,0.023,0.001,0.0005
301.7,-0.0020482,0,0,0,0.024,0,0.0005
301.71,-0.0019606,0.011665,0.0013086,0,0.024,0.001,0.0005
301.75,-0.0020463,0,0,0,0.025,0,0.0005
301.76,-0.0019579,0.010369,0.001223,0,0.025,0.001,0.0005
301.8,-0.0020402,0,0,0,0.026,0,0.0005
301.81,-0.0019513,0.0091745,0.001136,0,0.026,0.001,0.0005
301.85,-0.0020312,0,0,0,0.027,0,0.0005
301.85,-0.0019419,0.0080869,0.0010511,0,0.027,0.001,0.0005
301.89,-0.0020203,0,0,0,0.028,0,0.0005
301.89,-0.0019307,0.0071079,0.00097218,0,0.028,0.001,0.0005
