"T","p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
298.14,2.399e-06,0,0,0,0.001,0,0.0005
298.04,-4.6955e-09,0,0,0,0,0,0.0005
298.14,2.0546e-06,0.0002174,-0.00021253,0,0.001,0.001,0.0005
298,-9.0592e-07,0,0,0,0,0.001,0.0005
298.28,5.2606e-06,0,0,0,0.002,0,0.0005
298.28,5.7909e-06,0.00071649,-0.00042191,0,0.002,0.001,0.0005
298.41,2.891e-06,0,0,0,0.003,0,0.0005
298.41,4.0612e-06,0.0015372,-0.0005991,0,0.003,0.001,0.0005
298.53,-7.0344e-06,0,0,0,0.004,0,0.0005
298.54,-5.1081e-06,0.0026119,-0.00074229,0,0.004,0.001,0.0005
298.65,-2.648e-05,0,0,0,0.005,0,0.0005
298.66,-2.357e-05,0.003887,-0.00084772,0,0.005,0.001,0.0005
298.76,-5.714e-05,0,0,0,0.006,0,0.0005
298.77,-5.3009e-05,0.0053061,-0.00090753,0,0.006,0.001,0.0005
298.86,-0.00010001,0,0,0,0.007,0,0.0005
298.88,-9.4406e-05,0.0068029,-0.00091533,0,0.007,0.001,0.0005
298.96,-0.00015516,0,0,0,0.008,0,0.0005
298.97,-0.0001478,0.0083062,-0.00086935,0,0.008,0.001,0.0005
299.05,-0.00022164,0,0,0,0.009,0,0.0005
299.07,-0.00021224,0.009746,-0.0007732,0,0.009,0.001,0.0005
299.14,-0.00029761,0,0,0,0.01,0,0.0005
299.15,-0.00028589,0.01106,-0.00063525,0,0.01,0.001,0.0005
299.22,-0.00038058,0,0,0,0.011,0,0.0005
299.23,-0.00036626,0.012196,-0.0004672,0,0.011,0.001,0.0005
299.29,-0.00046764,0,0,0,0.012,0,0.0005
299.3,-0.00045047,0.013119,-0.0002825,0,0.012,0.001,0.0005
299.36,-0.00055589,0,0,0,0.013,0,0.0005
299.37,-0.00053563,0.013806,-9.4332e-05,0,0.013,0.001,0.0005
299.42,-0.00064238,0,0,0,0.014,0,0.0005
299.44,-0.000619,0.01425,8.8026e-05,0,0.014,0.001,0.0005
299.48,-0.00072464,0,0,0,0.015,0,0.0005
299.5,-0.00069826,0.014457,0.00025758,0,0.015,0.001,0.0005
299.54,-0.00080088,0,0,0,0.016,0,0.0005
299.55,-0.00077163,0.014444,0.00040765,0,0.016,0.001,0.0005
299.59,-0.00086979,0,0,0,0.017,0,0.0005
299.6,-0.0008379,0.014234,0.00053478,0,0.017,0.001,0.0005
299.64,-0.00093061,0,0,0,0.018,0,0.0005
299.65,-0.00089634,0.013855,0.00063738,0,0.018,0.001,0.0005
299.69,-0.00098315,0,0,0,0.019,0,0.0005
299.7,-0.00094674,0.013338,0.00071477,0,0.019,0.001,0.0005
299.73,-0.0010275,0,0,0,0.02,0,0.0005
299.74,-0.00098924,0.012713,0.00076814,0,0.02,0.001,0.0005
299.77,-0.0010642,0,0,0,0.021,0,0.0005
299.78,-0.0010243,0.01201,0.00080009,0,0.021,0.001,0.0005
299.81,-0.0010937,0,0,0,0.022,0,0.0005
299.81,-0.0010524,0.011257,0.00081381,0,0.022,0.001,0.0005
299.84,-0.0011168,0,0,0,0.023,0,0.0005
299.85,-0.0010744,0.010478,0.00081262,0,0.023,0.001,0.0005
299.88,-0.0011343,0,0,0,0.024,0,0.0005
299.88,-0.001091,0.0096931,0.00079969,0,0.024,0.001,0.0005
299.91,-0.001147,0,0,0,0.025,0,0.0005
299.91,-0.0011031,0.0089197,0.00077796,0,0.025,0.001,0.0005
299.93,-0.0011558,0,0,0,0.026,0,0.0005
299.94,-0.0011113,0.008171,0.00074995,0,0.026,0.001,0.0005
299.96,-0.0011612,0,0,0,0.027,0,0.0005
299.96,-0.0011164,0.0074573,0.00071786,0,0.027,0.001,0.0005
299.99,-0.001164,0,0,0,0.028,0,0.0005
299.99,-0.0011189,0.0067855,0.00068352,0,0.028,0.001,0.0005
300.01,-0.0011648,0,0,0,0.029,0,0.0005
300.01,-0.0011195,0.0061602,0.00064862,0,0.029,0.001,0.0005
300.03,-0.0011639,0,0,0,0.03,0,0.0005
300.03,-0.0011185,0.0055841,0.00061468,0,0.03,0.001,0.0005
300.05,-0.0011618,0,0,0,0.031,0,0.0005
300.05,-0.0011164,0.005058,0.0005825,0,0.031,0.001,0.0005
300.07,-0.0011589,0,0,0,0.032,0,0.0005
300.07,-0.0011134,0.0045813,0.00055222,0,0.032,0.001,0.0005
300.09,-0.0011554,0,0,0,0.033,0,0.0005
300.09,-0.0011099,0.0041524,0.00052401,0,0.033,0.001,0.0005
300.11,-0.0011516,0,0,0,0.034,0,0.0005
300.11,-0.0011061,0.0037691,0.00049799,0,0.034,0.001,0.0005
300.13,-0.0011476,0,0,0,0.035,0,0.0005
300.13,-0.0011021,0.0034288,0.00047423,0,0.035,0.001,0.0005
300.14,-0.0011435,0,0,0,0.036,0,0.0005
300.14,-0.0010981,0.0031283,0.00045268,0,0.036,0.001,0.0005
300.16,-0.0011396,0,0,0,0.037,0,0.0005
300.16,-0.0010941,0.0028648,0.00043328,0,0.037,0.001,0.0005
300.17,-0.0011357,0,0,0,0.038,0,0.0005
300.17,-0.0010903,0.0026351,0.00041589,0,0.038,0.001,0.0005
300.19,-0.0011321,0,0,0,0.039,0,0.0005
300.19,-0.0010867,0.0024363,0.00040037,0,0.039,0.001,0.0005
300.2,-0.0011287,0,0,0,0.04,0,0.0005
300.2,-0.0010832,0.0022655,0.00038657,0,0.04,0.001,0.0005
300.21,-0.0011256,0,0,0,0.041,0,0.0005
300.21,-0.0010801,0.0021201,0.00037432,0,0.041,0.001,0.0005
300.22,-0.0011227,0,0,0,0.042,0,0.0005
300.22,-0.0010772,0.0019976,0.00036348,0,0.042,0.001,0.0005
300.24,-0.0011201,0,0,0,0.043,0,0.0005
300.24,-0.0010745,0.0018959,0.00035389,0,0.043,0.001,0.0005
300.25,-0.0011179,0,0,0,0.044,0,0.0005
300.25,-0.0010722,0.0018129,0.00034541,0,0.044,0.001,0.0005
300.26,-0.0011159,0,0,0,0.045,0,0.0005
300.26,-0.0010702,0.0017467,0.00033795,0,0.045,0.001,0.0005
300.27,-0.0011142,0,0,0,0.046,0,0.0005
300.27,-0.0010684,0.0016958,0.00033138,0,0.046,0.001,0.0005
300.28,-0.0011128,0,0,0,0.047,0,0.0005
300.28,-0.0010669,0.0016586,0.00032562,0,0.047,0.001,0.0005
300.29,-0.0011118,0,0,0,0.048,0,0.0005
300.29,-0.0010657,0.001634,0.00032054,0,0.048,0.001,0.0005
300.3,-0.001111,0,0,0,0.049,0,0.0005
300.3,-0.0010649,0.0016207,0.00031599,0,0.049,0.001,0.0005
300.31,-0.0011105,0,0,0,0.05,0,0.0005
300.31,-0.0010643,0.0016177,0.00031185,0,0.05,0.001,0.0005
300.32,-0.0011103,0,0,0,0.051,0,0.0005
300.32,-0.001064,0.001624,0.00030819,0,0.051,0.001,0.0005
300.33,-0.0011104,0,0,0,0.052,0,0.0005
300.33,-0.001064,0.0016385,0.000305,0,0.052,0.001,0.0005
300.34,-0.0011108,0,0,0,0.053,0,0.0005
300.34,-0.0010643,0.0016602,0.00030218,0,0.053,0.001,0.0005
300.35,-0.0011115,0,0,0,0.054,0,0.0005
