"T","p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
298.18,2.8842e-06,0,0,0,0.001,0,0.0005
298.05,1.1007e-08,0,0,0,0,0,0.0005
298.19,2.7396e-06,0.00028059,-0.00027693,0,0.001,0.001,0.0005
298,-8.6493e-07,0,0,0,0,0.001,0.0005
298.37,5.9489e-06,0,0,0,0.002,0,0.0005
298.37,7.0015e-06,0.00091651,-0.00054251,0,0.002,0.001,0.0005
298.54,1.867e-06,0,0,0,0.003,0,0.0005
298.55,3.8613e-06,0.0019603,-0.00076944,0,0.003,0.001,0.0005
298.7,-1.2562e-05,0,0,0,0.004,0,0.0005
298.71,-9.4853e-06,0.0033284,-0.00095423,0,0.004,0.001,0.0005
298.86,-4.0167e-05,0,0,0,0.005,0,0.0005
298.87,-3.5744e-05,0.0049512,-0.0010878,0,0.005,0.001,0.0005
299,-8.3346e-05,0,0,0,0.006,0,0.0005
299.02,-7.7296e-05,0.006751,-0.0011567,0,0.006,0.001,0.0005
299.14,-0.00014337,0,0,0,0.007,0,0.0005
299.15,-0.00013538,0.0086352,-0.0011514,0,0.007,0.001,0.0005
299.26,-0.00022003,0,0,0,0.008,0,0.0005
299.28,-0.00020975,0.010505,-0.0010704,0,0.008,0.001,0.0005
299.38,-0.00031156,0,0,0,0.009,0,0.0005
299.4,-0.00029861,0.012265,-0.00092134,0,0.009,0.001,0.0005
299.49,-0.0004149,0,0,0,0.01,0,0.0005
299.51,-0.00039888,0.013834,-0.00071849,0,0.01,0.001,0.0005
299.59,-0.00052611,0,0,0,0.011,0,0.0005
299.61,-0.00050665,0.015148,-0.00048061,0,0.011,0.001,0.0005
299.68,-0.0006409,0,0,0,0.012,0,0.0005
299.7,-0.00061762,0.016165,-0.00022775,0,0.012,0.001,0.0005
299.77,-0.00075499,0,0,0,0.013,0,0.0005
299.79,-0.00072767,0.016865,2.2686e-05,0,0.013,0.001,0.0005
299.85,-0.00086445,0,0,0,0.014,0,0.0005
299.87,-0.00083311,0.017247,0.0002583,0,0.014,0.001,0.0005
299.93,-0.00096625,0,0,0,0.015,0,0.0005
299.94,-0.00093105,0.01733,0.0004696,0,0.015,0.001,0.0005
300,-0.0010583,0,0,0,0.016,0,0.0005
300.01,-0.0010195,0.01714,0.00064995,0,0.016,0.001,0.0005
300.06,-0.0011392,0,0,0,0.017,0,0.0005
300.08,-0.0010971,0.016716,0.00079596,0,0.017,0.001,0.0005
300.12,-0.0012087,0,0,0,0.018,0,0.0005
300.14,-0.0011636,0.016097,0.00090624,0,0.018,0.001,0.0005
300.18,-0.0012668,0,0,0,0.019,0,0.0005
300.19,-0.0012191,0.015328,0.0009821,0,0.019,0.001,0.0005
300.23,-0.0013141,0,0,0,0.02,0,0.0005
300.24,-0.0012641,0.014448,0.0010272,0,0.02,0.001,0.0005
300.28,-0.0013514,0,0,0,0.021,0,0.0005
300.29,-0.0012996,0.013497,0.0010461,0,0.021,0.001,0.0005
300.33,-0.00138,0,0,0,0.022,0,0.0005
300.33,-0.0013266,0.012507,0.0010438,0,0.022,0.001,0.0005
300.37,-0.0014008,0,0,0,0.023,0,0.0005
300.37,-0.0013463,0.011509,0.0010251,0,0.023,0.001,0.0005
300.41,-0.0014152,0,0,0,0.024,0,0.0005
300.41,-0.0013597,0.010524,0.0009941,0,0.024,0.001,0.0005
300.44,-0.0014243,0,0,0,0.025,0,0.0005
300.45,-0.0013681,0.0095732,0.00095473,0,0.025,0.001,0.0005
300.48,-0.001429,0,0,0,0.026,0,0.0005
300.48,-0.0013724,0.008669,0.00091007,0,0.026,0.001,0.0005
300.51,-0.0014304,0,0,0,0.027,0,0.0005
300.51,-0.0013734,0.0078214,0.00086278,0,0.027,0.001,0.0005
300.54,-0.0014292,0,0,0,0.028,0,0.0005
300.54,-0.0013719,0.0070365,0.00081527,0,0.028,0.001,0.0005
300.57,-0.001426,0,0,0,0.029,0,0.0005
300.57,-0.0013686,0.0063173,0.00076954,0,0.029,0.001,0.0005
300.6,-0.0014215,0,0,0,0.03,0,0.0005
300.6,-0.001364,0.0056646,0.00072653,0,0.03,0.001,0.0005
300.62,-0.001416,0,0,0,0.031,0,0.0005
300.62,-0.0013586,0.0050772,0.00068646,0,0.031,0.001,0.0005
300.65,-0.0014099,0,0,0,0.032,0,0.0005
300.65,-0.0013525,0.0045527,0.00064951,0,0.032,0.001,0.0005
300.67,-0.0014036,0,0,0,0.033,0,0.0005
300.67,-0.0013463,0.0040875,0.00061579,0,0.033,0.001,0.0005
300.69,-0.0013972,0,0,0,0.034,0,0.0005
300.69,-0.0013399,0.0036778,0.00058533,0,0.034,0.001,0.0005
300.71,-0.001391,0,0,0,0.035,0,0.0005
300.71,-0.0013337,0.0033193,0.00055803,0,0.035,0.001,0.0005
300.73,-0.0013849,0,0,0,0.036,0,0.0005
300.73,-0.0013276,0.0030076,0.00053371,0,0.036,0.001,0.0005
300.75,-0.0013792,0,0,0,0.037,0,0.0005
300.75,-0.0013219,0.0027385,0.00051218,0,0.037,0.001,0.0005
300.76,-0.0013738,0,0,0,0.038,0,0.0005
300.77,-0.0013165,0.0025079,0.00049318,0,0.038,0.001,0.0005
300.78,-0.0013688,0,0,0,0.039,0,0.0005
300.78,-0.0013114,0.002312,0.00047647,0,0.039,0.001,0.0005
300.8,-0.0013641,0,0,0,0.04,0,0.0005
300.8,-0.0013068,0.0021472,0.0004618,0,0.04,0.001,0.0005
300.81,-0.00136,0,0,0,0.041,0,0.0005
300.81,-0.0013025,0.0020104,0.00044894,0,0.041,0.001,0.0005
300.83,-0.0013562,0,0,0,0.042,0,0.0005
300.83,-0.0012987,0.0018985,0.00043769,0,0.042,0.001,0.0005
300.84,-0.0013528,0,0,0,0.043,0,0.0005
300.84,-0.0012952,0.001809,0.00042784,0,0.043,0.001,0.0005
300.86,-0.0013499,0,0,0,0.044,0,0.0005
300.86,-0.0012922,0.0017396,0.00041924,0,0.044,0.001,0.0005
300.87,-0.0013474,0,0,0,0.045,0,0.0005
300.87,-0.0012895,0.0016883,0.00041175,0,0.045,0.001,0.0005
300.88,-0.0013452,0,0,0,0.046,0,0.0005
300.88,-0.0012873,0.0016533,0.0004052,0,0.046,0.001,0.0005
300.89,-0.0013435,0,0,0,0.047,0,0.0005
300.9,-0.0012854,0.0016332,0.00039935,0,0.047,0.001,0.0005
300.91,-0.0013421,0,0,0,0.048,0,0.0005
300.91,-0.0012839,0.0016263,0.00039402,0,0.048,0.001,0.0005
300.92,-0.0013411,0,0,0,0.049,0,0.0005
300.92,-0.0012828,0.0016314,0.00038926,0,0.049,0.001,0.0005
300.93,-0.0013405,0,0,0,0.05,0,0.0005
300.93,-0.0012821,0.0016473,0.00038511,0,0.05,0.001,0.0005
300.94,-0.0013403,0,0,0,0.051,0,0.0005
300.94,-0.0012817,0.0016726,0.00038144,0,0.051,0.001,0.0005
300.95,-0.0013405,0,0,0,0.052,0,0.0005
300.95,-0.0012817,0.0017064,0.00037822,0,0.052,0.001,0.0005
300.97,-0.001341,0,0,0,0.053,0,0.0005
300.97,-0.0012821,0.0017481,0.00037549,0,0.053,0.001,0.0005
300.98,-0.0013419,0,0,0,0.054,0,0.0005
300.98,-0.0012828,0.0017966,0.00037326,0,0.054,0.001,0.0005
300.99,-0.0013432,0,0,0,0.055,0,0.0005
300.99,-0.0012839,0.0018512,0.00037152,0,0.055,0.001,0.0005
301,-0.0013448,0,0,0,0.056,0,0.0005
301,-0.0012854,0.001911,0.00037026,0,0.056,0.001,0.0005
301.01,-0.0013468,0,0,0,0.057,0,0.0005
301.01,-0.0012873,0.0019753,0.00036946,0,0.057,0.001,0.0005
301.02,-0.0013492,0,0,0,0.058,0,0.0005
301.02,-0.0012895,0.0020433,0.00036912,0,0.058,0.001,0.0005
301.03,-0.0013519,0,0,0,0.059,0,0.0005
301.03,-0.001292,0.0021142,0.00036922,0,0.059,0.001,0.0005
301.04,-0.0013551,0,0,0,0.06,0,0.0005
301.04,-0.0012949,0.0021872,0.00036975,0,0.06,0.001,0.0005
301.05,-0.0013585,0,0,0,0.061,0,0.0005
301.05,-0.0012982,0.0022618,0.0003707,0,0.061,0.001,0.0005
301.06,-0.0013623,0,0,0,0.062,0,0.0005
301.06,-0.0013018,0.0023371,0.00037204,0,0.062,0.001,0.0005
301.07,-0.0013664,0,0,0,0.063,0,0.0005
301.07,-0.0013057,0.0024127,0.00037375,0,0.063,0.001,0.0005
301.08,-0.0013709,0,0,0,0.064,0,0.0005
301.08,-0.00131,0.0024879,0.00037579,0,0.064,0.001,0.0005
301.09,-0.0013757,0,0,0,0.065,0,0.0005
301.09,-0.0013145,0.0025622,0.00037814,0,0.065,0.001,0.0005
301.1,-0.0013807,0,0,0,0.066,0,0.0005
301.1,-0.0013193,0.0026351,0.00038075,0,0.066,0.001,0.0005
301.11,-0.001386,0,0,0,0.067,0,0.0005
301.11,-0.0013244,0.0027063,0.00038356,0,0.067,0.001,0.0005
301.12,-0.0013916,0,0,0,0.068,0,0.0005
301.12,-0.0013298,0.0027754,0.00038652,0,0.068,0.001,0.0005
301.13,-0.0013974,0,0,0,0.069,0,0.0005
301.13,-0.0013354,0.0028423,0.00038957,0,0.069,0.001,0.0005
301.14,-0.0014034,0,0,0,0.07,0,0.0005
301.14,-0.0013412,0.0029067,0.00039264,0,0.07,0.001,0.0005
301.15,-0.0014097,0,0,0,0.071,0,0.0005
301.15,-0.0013472,0.0029688,0.00039566,0,0.071,0.001,0.0005
301.16,-0.0014161,0,0,0,0.072,0,0.0005
301.16,-0.0013534,0.0030286,0.00039853,0,0.072,0.001,0.0005
301.17,-0.0014227,0,0,0,0.073,0,0.0005
301.17,-0.0013598,0.0030864,0.00040117,0,0.073,0.001,0.0005
301.18,-0.0014295,0,0,0,0.074,0,0.0005
301.19,-0.0013663,0.0031425,0.00040347,0,0.074,0.001,0.0005
301.2,-0.0014364,0,0,0,0.075,0,0.0005
301.2,-0.001373,0.0031976,0.00040531,0,0.075,0.001,0.0005
301.21,-0.0014435,0,0,0,0.076,0,0.0005
301.21,-0.0013799,0.0032523,0.00040654,0,0.076,0.001,0.0005
301.22,-0.0014508,0,0,0,0.077,0,0.0005
301.22,-0.001387,0.0033077,0.00040699,0,0.077,0.001,0.0005
301.23,-0.0014582,0,0,0,0.078,0,0.0005
301.23,-0.0013942,0.003365,0.00040646,0,0.078,0.001,0.0005
301.24,-0.0014658,0,0,0,0.079,0,0.0005
301.24,-0.0014016,0.0034257,0.00040467,0,0.079,0.001,0.0005
301.25,-0.0014737,0,0,0,0.08,0,0.0005
301.25,-0.0014093,0.003492,0.00040131,0,0.08,0.001,0.0005
301.27,-0.0014819,0,0,0,0.081,0,0.0005
301.27,-0.0014173,0.0035663,0.00039593,0,0.081,0.001,0.0005
301.28,-0.0014904,0,0,0,0.082,0,0.0005
301.28,-0.0014257,0.0036518,0.00038798,0,0.082,0.001,0.0005
301.3,-0.0014994,0,0,0,0.083,0,0.0005
301.3,-0.0014345,0.0037527,0.00037669,0,0.083,0.001,0.0005
301.32,-0.0015091,0,0,0,0.084,0,0.0005
301.31,-0.001444,0.0038743,0.00036109,0,0.084,0.001,0.0005
301.34,-0.0015196,0,0,0,0.085,0,0.0005
301.34,-0.0014543,0.0040233,0.00033987,0,0.085,0.001,0.0005
301.37,-0.0015314,0,0,0,0.086,0,0.0005
301.36,-0.0014657,0.0042082,0.0003114,0,0.086,0.001,0.0005
301.4,-0.0015448,0,0,0,0.087,0,0.0005
301.4,-0.0014787,0.00444,0.0002737,0,0.087,0.001,0.0005
301.45,-0.0015605,0,0,0,0.088,0,0.0005
301.45,-0.0014938,0.0047317,0.00022465,0,0.088,0.001,0.0005
301.52,-0.0015796,0,0,0,0.089,0,0.0005
301.51,-0.001512,0.005099,0.00016254,0,0.089,0.001,0.0005
301.62,-0.0016035,0,0,0,0.09,0,0.0005
301.61,-0.0015343,0.0055584,8.7537e-05,0,0.09,0.001,0.0005
301.77,-0.0016342,0,0,0,0.091,0,0.0005
301.75,-0.0015625,0.0061243,4.6105e-06,0,0.091,0.001,0.0005
301.98,-0.0016746,0,0,0,0.092,0,0.0005
301.95,-0.0015986,0.006801,-7.2232e-05,0,0.092,0.001,0.0005
302.31,-0.0017287,0,0,0,0.093,0,0.0005
302.27,-0.0016456,0.0075677,-0.00011151,0,0.093,0.001,0.0005
302.82,-0.0018015,0,0,0,0.094,0,0.0005
302.75,-0.0017066,0.0083499,-4.7421e-05,0,0.094,0.001,0.0005
303.61,-0.0018974,0,0,0,0.095,0,0.0005
303.52,-0.0017838,0.0089804,0.00024172,0,0.095,0.001,0.0005
304.82,-0.0020188,0,0,0,0.096,0,0.0005
304.71,-0.0018772,0.009146,0.00093338,0,0.096,0.001,0.0005
306.63,-0.0021605,0,0,0,0.097,0,0.0005
306.52,-0.0019808,0.0083544,0.0021856,0,0.097,0.001,0.0005
309.16,-0.0022976,0,0,0,0.098,0,0.0005
309.08,-0.0020754,0.0061795,0.0038172,0,0.098,0.001,0.0005
312.38,-0.0023828,0,0,0,0.099,0,0.0005
312.33,-0.0021257,0.0030768,0.0044422,0,0.099,0.001,0.0005
316,-0.0021346,0,0,0,0.1,0.001,0.0005
315.07,-0.0024054,0,0,0,0.1,0,0.0005
298.2,4.7204e-06,0.00048128,-0.00090508,0,0.001,0.002,0.0005
298,-4.8593e-07,0,0,0,0,0.002,0.0005
298.39,1.1778e-05,0.0015124,-0.0017077,0,0.002,0.002,0.0005
298.58,1.1e-05,0.0031717,-0.0024011,0,0.003,0.002,0.0005
298.76,1.1157e-07,0.0053264,-0.0029771,0,0.004,0.002,0.0005
298.92,-2.3499e-05,0.0078672,-0.0034108,0,0.005,0.002,0.0005
299.08,-6.2284e-05,0.010677,-0.0036719,0,0.006,0.002,0.0005
299.22,-0.00011745,0.013622,-0.0037407,0,0.007,0.002,0.0005
299.36,-0.00018863,0.016565,-0.0036159,0,0.008,0.002,0.0005
299.48,-0.00027389,0.019374,-0.0033147,0,0.009,0.002,0.0005
299.59,-0.00037001,0.021936,-0.0028694,0,0.01,0.002,0.0005
299.69,-0.00047298,0.024162,-0.0023206,0,0.011,0.002,0.0005
299.79,-0.00057848,0.025989,-0.0017123,0,0.012,0.002,0.0005
299.87,-0.00068249,0.027378,-0.0010855,0,0.013,0.002,0.0005
299.95,-0.00078158,0.028317,-0.00047529,0,0.014,0.002,0.0005
300.02,-0.00087305,0.028813,9.0788e-05,0,0.015,0.002,0.0005
300.08,-0.00095505,0.028889,0.00059271,0,0.016,0.002,0.0005
300.14,-0.0010266,0.028581,0.001018,0,0.017,0.002,0.0005
300.19,-0.0010872,0.027936,0.0013607,0,0.018,0.002,0.0005
300.24,-0.0011373,0.027006,0.0016203,0,0.019,0.002,0.0005
300.28,-0.0011776,0.025847,0.0018009,0,0.02,0.002,0.0005
300.33,-0.0012088,0.024511,0.0019097,0,0.021,0.002,0.0005
300.37,-0.0012323,0.023052,0.0019558,0,0.022,0.002,0.0005
300.4,-0.001249,0.021517,0.0019494,0,0.023,0.002,0.0005
300.44,-0.00126,0.01995,0.0019007,0,0.024,0.002,0.0005
300.47,-0.0012665,0.018387,0.0018194,0,0.025,0.002,0.0005
300.5,-0.0012692,0.016859,0.0017143,0,0.026,0.002,0.0005
300.53,-0.0012691,0.015389,0.0015935,0,0.027,0.002,0.0005
300.56,-0.0012668,0.013998,0.0014637,0,0.028,0.002,0.0005
300.58,-0.001263,0.012696,0.0013305,0,0.029,0.002,0.0005
300.61,-0.001258,0.011491,0.0011982,0,0.03,0.002,0.0005
300.63,-0.0012522,0.010388,0.0010697,0,0.031,0.002,0.0005
300.65,-0.0012461,0.009387,0.00094718,0,0.032,0.002,0.0005
300.68,-0.0012397,0.008486,0.0008321,0,0.033,0.002,0.0005
300.7,-0.0012333,0.0076813,0.00072529,0,0.034,0.002,0.0005
300.72,-0.001227,0.0069677,0.00062713,0,0.035,0.002,0.0005
300.73,-0.0012209,0.0063395,0.00053761,0,0.036,0.002,0.0005
300.75,-0.0012151,0.0057903,0.00045648,0,0.037,0.002,0.0005
300.77,-0.0012097,0.0053137,0.00038329,0,0.038,0.002,0.0005
300.79,-0.0012045,0.0049033,0.00031751,0,0.039,0.002,0.0005
300.8,-0.0011998,0.0045531,0.00025851,0,0.04,0.002,0.0005
300.82,-0.0011954,0.0042575,0.00020567,0,0.041,0.002,0.0005
300.83,-0.0011914,0.0040111,0.00015838,0,0.042,0.002,0.0005
300.84,-0.0011878,0.0038091,0.00011609,0,0.043,0.002,0.0005
300.86,-0.0011846,0.0036472,7.8276e-05,0,0.044,0.002,0.0005
300.87,-0.0011818,0.0035214,4.4494e-05,0,0.045,0.002,0.0005
300.88,-0.0011793,0.0034281,1.4292e-05,0,0.046,0.002,0.0005
300.9,-0.0011772,0.0033641,-1.2994e-05,0,0.047,0.002,0.0005
300.91,-0.0011755,0.0033268,-3.7869e-05,0,0.048,0.002,0.0005
300.92,-0.0011741,0.0033136,-6.0574e-05,0,0.049,0.002,0.0005
300.93,-0.0011731,0.0033219,-8.1396e-05,0,0.05,0.002,0.0005
300.94,-0.0011725,0.0033492,-0.00010039,0,0.051,0.002,0.0005
300.96,-0.0011722,0.0033939,-0.00011746,0,0.052,0.002,0.0005
300.97,-0.0011723,0.003454,-0.00013261,0,0.053,0.002,0.0005
300.98,-0.0011728,0.0035279,-0.00014593,0,0.054,0.002,0.0005
300.99,-0.0011736,0.003614,-0.00015751,0,0.055,0.002,0.0005
301,-0.0011747,0.0037105,-0.00016742,0,0.056,0.002,0.0005
301.01,-0.0011763,0.0038161,-0.00017572,0,0.057,0.002,0.0005
301.02,-0.0011781,0.0039291,-0.00018248,0,0.058,0.002,0.0005
301.03,-0.0011804,0.0040483,-0.00018774,0,0.059,0.002,0.0005
301.04,-0.0011829,0.0041722,-0.00019156,0,0.06,0.002,0.0005
301.05,-0.0011858,0.0042995,-0.00019402,0,0.061,0.002,0.0005
301.06,-0.0011891,0.0044291,-0.00019517,0,0.062,0.002,0.0005
301.07,-0.0011926,0.0045597,-0.00019512,0,0.063,0.002,0.0005
301.08,-0.0011965,0.0046904,-0.00019397,0,0.064,0.002,0.0005
301.09,-0.0012007,0.00482,-0.00019183,0,0.065,0.002,0.0005
301.1,-0.0012051,0.0049479,-0.00018885,0,0.066,0.002,0.0005
301.11,-0.0012098,0.0050732,-0.00018517,0,0.067,0.002,0.0005
301.12,-0.0012147,0.0051954,-0.00018096,0,0.068,0.002,0.0005
301.13,-0.0012199,0.005314,-0.00017643,0,0.069,0.002,0.0005
301.14,-0.0012253,0.0054287,-0.00017176,0,0.07,0.002,0.0005
301.16,-0.0012309,0.0055395,-0.0001672,0,0.071,0.002,0.0005
301.17,-0.0012367,0.0056465,-0.000163,0,0.072,0.002,0.0005
301.18,-0.0012427,0.00575,-0.00015944,0,0.073,0.002,0.0005
301.19,-0.0012488,0.0058505,-0.00015684,0,0.074,0.002,0.0005
301.2,-0.0012551,0.0059489,-0.00015557,0,0.075,0.002,0.0005
301.21,-0.0012616,0.0060463,-0.00015605,0,0.076,0.002,0.0005
301.22,-0.0012682,0.0061443,-0.0001588,0,0.077,0.002,0.0005
301.23,-0.0012751,0.0062446,-0.0001644,0,0.078,0.002,0.0005
301.24,-0.0012821,0.0063497,-0.00017363,0,0.079,0.002,0.0005
301.25,-0.0012894,0.0064626,-0.00018742,0,0.08,0.002,0.0005
301.27,-0.001297,0.006587,-0.00020697,0,0.081,0.002,0.0005
301.28,-0.0013049,0.0067275,-0.00023383,0,0.082,0.002,0.0005
301.3,-0.0013133,0.0068897,-0.00026999,0,0.083,0.002,0.0005
