"T","p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
298.28,3.7602e-06,0,0,0,0.001,0,0.0005
298.07,-7.9531e-09,0,0,0,0,0,0.0005
298.29,4.2102e-06,0.00039897,-0.0004003,0,0.001,0.001,0.0005
298,-6.4421e-07,0,0,0,0,0.001,0.0005
298.55,6.9767e-06,0,0,0,0.002,0,0.0005
298.56,9.2951e-06,0.0012978,-0.00077506,0,0.002,0.001,0.0005
298.81,-1.0629e-06,0,0,0,0.003,0,0.0005
298.83,2.8381e-06,0.0027724,-0.0011018,0,0.003,0.001,0.0005
299.05,-2.5448e-05,0,0,0,0.004,0,0.0005
299.08,-1.9796e-05,0.0047088,-0.0013701,0,0.004,0.001,0.0005
299.28,-7.1066e-05,0,0,0,0.005,0,0.0005
299.31,-6.336e-05,0.0070039,-0.0015561,0,0.005,0.001,0.0005
299.49,-0.00014185,0,0,0,0.006,0,0.0005
299.52,-0.00013174,0.0095314,-0.001633,0,0.006,0.001,0.0005
299.69,-0.00023941,0,0,0,0.007,0,0.0005
299.72,-0.00022648,0.01214,-0.0015859,0,0.007,0.001,0.0005
299.87,-0.00036248,0,0,0,0.008,0,0.0005
299.9,-0.00034617,0.014672,-0.0014183,0,0.008,0.001,0.0005
300.03,-0.00050699,0,0,0,0.009,0,0.0005
300.07,-0.00048663,0.016983,-0.0011499,0,0.009,0.001,0.0005
300.19,-0.0006668,0,0,0,0.01,0,0.0005
300.23,-0.00064159,0.018957,-0.0008124,0,0.01,0.001,0.0005
300.33,-0.00083474,0,0,0,0.011,0,0.0005
300.37,-0.00080378,0.020511,-0.00044303,0,0.011,0.001,0.0005
300.46,-0.0010035,0,0,0,0.012,0,0.0005
300.5,-0.00096591,0.0216,-7.5877e-05,0,0.012,0.001,0.0005
300.58,-0.0011655,0,0,0,0.013,0,0.0005
300.62,-0.0011213,0.022217,0.00027161,0,0.013,0.001,0.0005
300.7,-0.0013148,0,0,0,0.014,0,0.0005
300.73,-0.0012648,0.022385,0.000589,0,0.014,0.001,0.0005
300.8,-0.0014481,0,0,0,0.015,0,0.0005
300.83,-0.0013929,0.022148,0.00086491,0,0.015,0.001,0.0005
300.89,-0.0015635,0,0,0,0.016,0,0.0005
300.92,-0.0015035,0.02156,0.0010888,0,0.016,0.001,0.0005
300.98,-0.0016607,0,0,0,0.017,0,0.0005
301.01,-0.0015962,0.020684,0.0012528,0,0.017,0.001,0.0005
301.06,-0.00174,0,0,0,0.018,0,0.0005
301.09,-0.0016714,0.019586,0.0013593,0,0.018,0.001,0.0005
301.14,-0.0018023,0,0,0,0.019,0,0.0005
301.16,-0.0017302,0.018332,0.0014157,0,0.019,0.001,0.0005
301.21,-0.0018494,0,0,0,0.02,0,0.0005
301.23,-0.0017745,0.016979,0.0014306,0,0.02,0.001,0.0005
301.27,-0.0018833,0,0,0,0.021,0,0.0005
301.29,-0.001806,0.01558,0.0014128,0,0.021,0.001,0.0005
301.33,-0.0019059,0,0,0,0.022,0,0.0005
301.35,-0.0018268,0.014178,0.0013706,0,0.022,0.001,0.0005
301.39,-0.0019193,0,0,0,0.023,0,0.0005
301.4,-0.0018388,0.012807,0.0013112,0,0.023,0.001,0.0005
301.44,-0.0019254,0,0,0,0.024,0,0.0005
301.45,-0.0018439,0.011496,0.0012405,0,0.024,0.001,0.0005
301.49,-0.0019258,0,0,0,0.025,0,0.0005
301.5,-0.0018435,0.010262,0.0011636,0,0.025,0.001,0.0005
301.54,-0.001922,0,0,0,0.026,0,0.0005
301.54,-0.0018391,0.0091185,0.0010842,0,0.026,0.001,0.0005
301.58,-0.0019151,0,0,0,0.027,0,0.0005
301.58,-0.0018318,0.0080724,0.0010055,0,0.027,0.001,0.0005
301.62,-0.0019062,0,0,0,0.028,0,0.0005
301.62,-0.0018226,0.0071262,0.00093078,0,0.028,0.001,0.0005
301.66,-0.0018957,0,0,0,0.029,0,0.0005
301.66,-0.001812,0.0062791,0.00086374,0,0.029,0.001,0.0005
301.69,-0.0018844,0,0,0,0.03,0,0.0005
301.69,-0.0018008,0.005528,0.00080525,0,0.03,0.001,0.0005
301.72,-0.0018729,0,0,0,0.031,0,0.0005
301.73,-0.0017894,0.0048672,0.00075358,0,0.031,0.001,0.0005
301.75,-0.0018615,0,0,0,0.032,0,0.0005
301.76,-0.001778,0.0042903,0.00070777,0,0.032,0.001,0.0005
301.78,-0.0018504,0,0,0,0.033,0,0.0005
301.79,-0.001767,0.0037903,0.00066733,0,0.033,0.001,0.0005
301.81,-0.0018399,0,0,0,0.034,0,0.0005
301.81,-0.0017566,0.00336,0.00063184,0,0.034,0.001,0.0005
301.84,-0.00183,0,0,0,0.035,0,0.0005
301.84,-0.0017467,0.0029924,0.00060089,0,0.035,0.001,0.0005
301.86,-0.0018208,0,0,0,0.036,0,0.0005
301.86,-0.0017374,0.0026809,0.00057405,0,0.036,0.001,0.0005
301.89,-0.0018123,0,0,0,0.037,0,0.0005
301.89,-0.0017288,0.0024193,0.00055088,0,0.037,0.001,0.0005
301.91,-0.0018045,0,0,0,0.038,0,0.0005
301.91,-0.001721,0.0022019,0.00053098,0,0.038,0.001,0.0005
301.93,-0.0017974,0,0,0,0.039,0,0.0005
301.93,-0.0017138,0.0020237,0.00051397,0,0.039,0.001,0.0005
301.95,-0.001791,0,0,0,0.04,0,0.0005
301.95,-0.0017072,0.0018801,0.00049948,0,0.04,0.001,0.0005
301.97,-0.0017853,0,0,0,0.041,0,0.0005
301.97,-0.0017013,0.0017671,0.00048721,0,0.041,0.001,0.0005
301.99,-0.0017802,0,0,0,0.042,0,0.0005
301.99,-0.001696,0.0016816,0.00047684,0,0.042,0.001,0.0005
302.01,-0.0017757,0,0,0,0.043,0,0.0005
302.01,-0.0016912,0.0016212,0.00046793,0,0.043,0.001,0.0005
302.03,-0.0017718,0,0,0,0.044,0,0.0005
302.03,-0.0016871,0.0015831,0.00045985,0,0.044,0.001,0.0005
302.05,-0.0017685,0,0,0,0.045,0,0.0005
302.05,-0.0016836,0.0015644,0.00045222,0,0.045,0.001,0.0005
302.06,-0.0017657,0,0,0,0.046,0,0.0005
302.06,-0.0016806,0.0015628,0.00044509,0,0.046,0.001,0.0005
302.08,-0.0017635,0,0,0,0.047,0,0.0005
302.08,-0.0016782,0.001577,0.00043875,0,0.047,0.001,0.0005
302.1,-0.0017618,0,0,0,0.048,0,0.0005
302.1,-0.0016762,0.0016057,0.0004331,0,0.048,0.001,0.0005
302.11,-0.0017606,0,0,0,0.049,0,0.0005
302.11,-0.0016749,0.0016472,0.00042767,0,0.049,0.001,0.0005
302.13,-0.0017599,0,0,0,0.05,0,0.0005
302.13,-0.001674,0.0016999,0.00042256,0,0.05,0.001,0.0005
302.14,-0.0017598,0,0,0,0.051,0,0.0005
302.14,-0.0016737,0.0017626,0.00041804,0,0.051,0.001,0.0005
302.16,-0.0017601,0,0,0,0.052,0,0.0005
302.16,-0.0016739,0.0018346,0.00041421,0,0.052,0.001,0.0005
302.17,-0.001761,0,0,0,0.053,0,0.0005
302.17,-0.0016746,0.0019149,0.00041108,0,0.053,0.001,0.0005
302.19,-0.0017624,0,0,0,0.054,0,0.0005
302.19,-0.0016758,0.0020023,0.00040868,0,0.054,0.001,0.0005
302.2,-0.0017644,0,0,0,0.055,0,0.0005
302.2,-0.0016775,0.0020958,0.00040698,0,0.055,0.001,0.0005
302.22,-0.0017669,0,0,0,0.056,0,0.0005
302.22,-0.0016798,0.0021943,0.00040597,0,0.056,0.001,0.0005
302.23,-0.0017699,0,0,0,0.057,0,0.0005
302.23,-0.0016825,0.0022967,0.00040566,0,0.057,0.001,0.0005
302.24,-0.0017734,0,0,0,0.058,0,0.0005
302.24,-0.0016858,0.002402,0.00040604,0,0.058,0.001,0.0005
302.26,-0.0017774,0,0,0,0.059,0,0.0005
302.26,-0.0016895,0.002509,0.00040709,0,0.059,0.001,0.0005
302.27,-0.001782,0,0,0,0.06,0,0.0005
302.27,-0.0016938,0.0026168,0.0004088,0,0.06,0.001,0.0005
302.29,-0.001787,0,0,0,0.061,0,0.0005
302.29,-0.0016985,0.0027244,0.00041113,0,0.061,0.001,0.0005
302.3,-0.0017924,0,0,0,0.062,0,0.0005
302.3,-0.0017036,0.0028308,0.00041406,0,0.062,0.001,0.0005
302.31,-0.0017984,0,0,0,0.063,0,0.0005
302.31,-0.0017093,0.0029352,0.00041753,0,0.063,0.001,0.0005
302.33,-0.0018047,0,0,0,0.064,0,0.0005
302.33,-0.0017153,0.0030367,0.00042149,0,0.064,0.001,0.0005
302.34,-0.0018114,0,0,0,0.065,0,0.0005
302.34,-0.0017216,0.0031347,0.00042589,0,0.065,0.001,0.0005
302.36,-0.0018185,0,0,0,0.066,0,0.0005
302.36,-0.0017284,0.0032286,0.00043064,0,0.066,0.001,0.0005
302.37,-0.0018258,0,0,0,0.067,0,0.0005
302.37,-0.0017354,0.003318,0.00043566,0,0.067,0.001,0.0005
302.38,-0.0018335,0,0,0,0.068,0,0.0005
302.38,-0.0017428,0.0034024,0.00044088,0,0.068,0.001,0.0005
302.4,-0.0018415,0,0,0,0.069,0,0.0005
302.4,-0.0017503,0.0034816,0.0004462,0,0.069,0.001,0.0005
302.41,-0.0018496,0,0,0,0.07,0,0.0005
302.41,-0.0017582,0.0035556,0.00045152,0,0.07,0.001,0.0005
302.42,-0.001858,0,0,0,0.071,0,0.0005
302.42,-0.0017662,0.0036246,0.00045673,0,0.071,0.001,0.0005
302.44,-0.0018665,0,0,0,0.072,0,0.0005
302.44,-0.0017743,0.0036886,0.00046171,0,0.072,0.001,0.0005
302.45,-0.0018752,0,0,0,0.073,0,0.0005
302.45,-0.0017827,0.0037482,0.00046633,0,0.073,0.001,0.0005
302.46,-0.001884,0,0,0,0.074,0,0.0005
302.47,-0.0017911,0.0038038,0.00047045,0,0.074,0.001,0.0005
302.48,-0.001893,0,0,0,0.075,0,0.0005
302.48,-0.0017997,0.0038564,0.0004739,0,0.075,0.001,0.0005
302.49,-0.001902,0,0,0,0.076,0,0.0005
302.49,-0.0018085,0.0039068,0.00047649,0,0.076,0.001,0.0005
302.51,-0.0019111,0,0,0,0.077,0,0.0005
302.51,-0.0018173,0.0039561,0.00047803,0,0.077,0.001,0.0005
302.52,-0.0019204,0,0,0,0.078,0,0.0005
302.52,-0.0018263,0.0040059,0.00047828,0,0.078,0.001,0.0005
302.53,-0.0019297,0,0,0,0.079,0,0.0005
302.54,-0.0018354,0.0040578,0.00047697,0,0.079,0.001,0.0005
302.55,-0.0019393,0,0,0,0.08,0,0.0005
302.55,-0.0018447,0.0041141,0.00047378,0,0.08,0.001,0.0005
302.56,-0.001949,0,0,0,0.081,0,0.0005
302.56,-0.0018543,0.0041774,0.0004683,0,0.081,0.001,0.0005
302.58,-0.0019591,0,0,0,0.082,0,0.0005
302.58,-0.0018641,0.004251,0.00045999,0,0.082,0.001,0.0005
302.6,-0.0019695,0,0,0,0.083,0,0.0005
302.6,-0.0018744,0.0043393,0.00044813,0,0.083,0.001,0.0005
302.62,-0.0019805,0,0,0,0.084,0,0.0005
302.62,-0.0018852,0.0044479,0.00043166,0,0.084,0.001,0.0005
302.64,-0.0019923,0,0,0,0.085,0,0.0005
302.64,-0.0018968,0.0045839,0.00040914,0,0.085,0.001,0.0005
302.67,-0.0020051,0,0,0,0.086,0,0.0005
302.67,-0.0019094,0.0047568,0.00037856,0,0.086,0.001,0.0005
302.7,-0.0020195,0,0,0,0.087,0,0.0005
302.7,-0.0019235,0.0049788,0.0003372,0,0.087,0.001,0.0005
302.75,-0.0020361,0,0,0,0.088,0,0.0005
302.75,-0.0019396,0.0052658,0.0002816,0,0.088,0.001,0.0005
302.82,-0.0020559,0,0,0,0.089,0,0.0005
302.81,-0.0019587,0.0056379,0.00020788,0,0.089,0.001,0.0005
302.91,-0.0020805,0,0,0,0.09,0,0.0005
302.9,-0.0019821,0.0061195,0.00011327,0,0.09,0.001,0.0005
303.05,-0.002112,0,0,0,0.091,0,0.0005
303.03,-0.0020115,0.0067378,-6.0025e-07,0,0.091,0.001,0.0005
303.27,-0.0021537,0,0,0,0.092,0,0.0005
303.24,-0.0020496,0.0075175,-0.00012693,0,0.092,0.001,0.0005
303.61,-0.0022114,0,0,0,0.093,0,0.0005
303.56,-0.0021004,0.0084644,-0.00024652,0,0.093,0.001,0.0005
304.17,-0.0022926,0,0,0,0.094,0,0.0005
304.09,-0.0021685,0.0095323,-0.00030065,0,0.094,0.001,0.0005
305.08,-0.0024068,0,0,0,0.095,0,0.0005
304.97,-0.0022593,0.010561,-0.00014676,0,0.095,0.001,0.0005
306.6,-0.0025604,0,0,0,0.096,0,0.0005
306.45,-0.0023751,0.011187,0.00050258,0,0.096,0.001,0.0005
309.07,-0.002751,0,0,0,0.097,0,0.0005
308.91,-0.0025113,0.010725,0.0020226,0,0.097,0.001,0.0005
312.85,-0.0029484,0,0,0,0.098,0,0.0005
312.71,-0.0026442,0.0083696,0.0044214,0,0.098,0.001,0.0005
317.99,-0.0030836,0,0,0,0.099,0,0.0005
317.91,-0.002723,0.0043828,0.0058485,0,0.099,0.001,0.0005
324,-0.0027409,0,0,0,0.1,0.001,0.0005
322.44,-0.003125,0,0,0,0.1,0,0.0005
298.3,8.3833e-06,0.00065647,-0.0012771,0,0.001,0.002,0.0005
298,1.2254e-06,0,0,0,0,0.002,0.0005
298.6,1.7653e-05,0.002076,-0.0024035,0,0.002,0.002,0.0005
298.89,1.492e-05,0.0043688,-0.00339,0,0.003,0.002,0.0005
299.15,-3.9825e-06,0.0073509,-0.0042099,0,0.004,0.002,0.0005
299.4,-4.3829e-05,0.010859,-0.0048056,0,0.005,0.002,0.0005
299.64,-0.0001086,0.014708,-0.0051193,0,0.006,0.002,0.0005
299.85,-0.00019967,0.018686,-0.005122,0,0.007,0.002,0.0005
300.05,-0.00031529,0.022583,-0.0048232,0,0.008,0.002,0.0005
300.23,-0.00045085,0.026208,-0.0042657,0,0.009,0.002,0.0005
300.38,-0.00059974,0.029409,-0.0035148,0,0.01,0.002,0.0005
300.53,-0.00075445,0.032074,-0.0026451,0,0.011,0.002,0.0005
300.65,-0.00090775,0.034134,-0.0017291,0,0.012,0.002,0.0005
300.76,-0.0010537,0.035563,-0.00082666,0,0.013,0.002,0.0005
300.86,-0.0011876,0.036365,1.6236e-05,0,0.014,0.002,0.0005
300.95,-0.0013061,0.036566,0.0007649,0,0.015,0.002,0.0005
301.03,-0.0014075,0.036212,0.0013971,0,0.016,0.002,0.0005
301.11,-0.0014911,0.035371,0.0019016,0,0.017,0.002,0.0005
301.17,-0.0015579,0.034118,0.0022772,0,0.018,0.002,0.0005
301.24,-0.0016093,0.032535,0.0025304,0,0.019,0.002,0.0005
301.29,-0.001647,0.030701,0.0026734,0,0.02,0.002,0.0005
301.35,-0.0016731,0.028692,0.0027213,0,0.021,0.002,0.0005
301.39,-0.0016893,0.026578,0.0026904,0,0.022,0.002,0.0005
301.44,-0.0016977,0.024424,0.0025975,0,0.023,0.002,0.0005
301.49,-0.0016999,0.022285,0.002458,0,0.024,0.002,0.0005
301.53,-0.0016974,0.020204,0.0022862,0,0.025,0.002,0.0005
301.57,-0.0016913,0.018217,0.0020941,0,0.026,0.002,0.0005
301.6,-0.0016828,0.016351,0.0018922,0,0.027,0.002,0.0005
301.64,-0.0016727,0.014622,0.0016891,0,0.028,0.002,0.0005
301.67,-0.0016617,0.01304,0.0014918,0,0.029,0.002,0.0005
301.71,-0.0016503,0.011608,0.0013049,0,0.03,0.002,0.0005
301.74,-0.0016387,0.010323,0.0011307,0,0.031,0.002,0.0005
301.77,-0.0016273,0.0091824,0.00097017,0,0.032,0.002,0.0005
301.79,-0.0016163,0.0081777,0.00082399,0,0.033,0.002,0.0005
301.82,-0.0016058,0.0072998,0.00069206,0,0.034,0.002,0.0005
301.85,-0.0015959,0.0065388,0.00057393,0,0.035,0.002,0.0005
301.87,-0.0015866,0.0058844,0.00046881,0,0.036,0.002,0.0005
301.89,-0.0015779,0.0053264,0.00037574,0,0.037,0.002,0.0005
301.92,-0.0015699,0.0048552,0.00029368,0,0.038,0.002,0.0005
301.94,-0.0015626,0.0044617,0.00022156,0,0.039,0.002,0.0005
301.96,-0.0015559,0.0041378,0.00015839,0,0.04,0.002,0.0005
301.98,-0.0015498,0.0038758,0.00010321,0,0.041,0.002,0.0005
302,-0.0015442,0.0036693,5.5105e-05,0,0.042,0.002,0.0005
302.01,-0.0015393,0.0035124,1.2771e-05,0,0.043,0.002,0.0005
302.03,-0.0015349,0.0033997,-2.5811e-05,0,0.044,0.002,0.0005
302.05,-0.001531,0.0033267,-6.1677e-05,0,0.045,0.002,0.0005
302.07,-0.0015277,0.0032896,-9.4644e-05,0,0.046,0.002,0.0005
302.08,-0.0015249,0.003285,-0.00012496,0,0.047,0.002,0.0005
302.1,-0.0015227,0.0033087,-0.00015307,0,0.048,0.002,0.0005
302.11,-0.0015209,0.003358,-0.00017945,0,0.049,0.002,0.0005
302.13,-0.0015196,0.0034305,-0.00020398,0,0.05,0.002,0.0005
302.15,-0.0015189,0.0035239,-0.0002261,0,0.051,0.002,0.0005
302.16,-0.0015186,0.0036358,-0.00024563,0,0.052,0.002,0.0005
302.18,-0.0015189,0.003764,-0.0002626,0,0.053,0.002,0.0005
302.19,-0.0015197,0.0039063,-0.00027709,0,0.054,0.002,0.0005
302.2,-0.0015209,0.0040608,-0.00028916,0,0.055,0.002,0.0005
302.22,-0.0015227,0.0042254,-0.00029888,0,0.056,0.002,0.0005
302.23,-0.001525,0.004398,-0.00030628,0,0.057,0.002,0.0005
302.25,-0.0015278,0.0045767,-0.00031143,0,0.058,0.002,0.0005
302.26,-0.0015311,0.0047596,-0.00031437,0,0.059,0.002,0.0005
302.27,-0.0015348,0.0049448,-0.0003152,0,0.06,0.002,0.0005
302.29,-0.001539,0.0051305,-0.000314,0,0.061,0.002,0.0005
302.3,-0.0015437,0.0053151,-0.0003109,0,0.062,0.002,0.0005
302.32,-0.0015487,0.0054971,-0.00030604,0,0.063,0.002,0.0005
302.33,-0.0015542,0.0056749,-0.0002996,0,0.064,0.002,0.0005
302.34,-0.00156,0.0058474,-0.00029176,0,0.065,0.002,0.0005
302.36,-0.0015662,0.0060134,-0.00028275,0,0.066,0.002,0.0005
302.37,-0.0015727,0.0061721,-0.0002728,0,0.067,0.002,0.0005
302.39,-0.0015795,0.0063227,-0.00026218,0,0.068,0.002,0.0005
302.4,-0.0015865,0.0064649,-0.00025117,0,0.069,0.002,0.0005
302.41,-0.0015937,0.0065984,-0.00024007,0,0.07,0.002,0.0005
302.43,-0.0016012,0.0067232,-0.0002292,0,0.071,0.002,0.0005
302.44,-0.0016088,0.0068397,-0.00021893,0,0.072,0.002,0.0005
302.45,-0.0016166,0.0069483,-0.00020964,0,0.073,0.002,0.0005
302.47,-0.0016245,0.0070499,-0.00020177,0,0.074,0.002,0.0005
302.48,-0.0016326,0.0071456,-0.0001958,0,0.075,0.002,0.0005
302.5,-0.0016407,0.007237,-0.00019227,0,0.076,0.002,0.0005
302.51,-0.001649,0.0073258,-0.00019179,0,0.077,0.002,0.0005
302.52,-0.0016575,0.0074142,-0.00019505,0,0.078,0.002,0.0005
302.54,-0.001666,0.007505,-0.00020285,0,0.079,0.002,0.0005
302.55,-0.0016748,0.0076015,-0.00021609,0,0.08,0.002,0.0005
302.57,-0.0016838,0.0077077,-0.00023594,0,0.081,0.002,0.0005
302.58,-0.0016931,0.0078287,-0.00026385,0,0.082,0.002,0.0005
302.6,-0.0017029,0.0079704,-0.00030177,0,0.083,0.002,0.0005
302.62,-0.0017131,0.0081407,-0.00035237,0,0.084,0.002,0.0005
302.64,-0.001724,0.0083488,-0.00041926,0,0.085,0.002,0.0005
302.66,-0.0017359,0.0086067,-0.00050725,0,0.086,0.002,0.0005
302.7,-0.001749,0.0089286,-0.00062262,0,0.087,0.002,0.0005
302.73,-0.0017639,0.0093321,-0.00077297,0,0.088,0.002,0.0005
302.79,-0.001781,0.0098373,-0.00096654,0,0.089,0.002,0.0005
302.87,-0.0018012,0.010466,-0.0012097,0,0.09,0.002,0.0005
302.98,-0.0018257,0.011234,-0.0015011,0,0.091,0.002,0.0005
303.16,-0.0018559,0.012144,-0.0018213,0,0.092,0.002,0.0005
303.45,-0.0018932,0.013157,-0.0021093,0,0.093,0.002,0.0005
303.93,-0.0019387,0.014162,-0.002217,0,0.094,0.002,0.0005
304.76,-0.001992,0.014909,-0.0018428,0,0.095,0.002,0.0005
306.2,-0.0020497,0.014932,-0.00049103,0,0.096,0.002,0.0005
308.65,-0.0021034,0.013488,0.0023314,0,0.097,0.002,0.0005
312.51,-0.0021381,0.0098925,0.0062648,0,0.098,0.002,0.0005
317.81,-0.0021303,0.0048679,0.0081761,0,0.099,0.002,0.0005
324,-0.0021122,0,0,0,0.1,0.002,0.0005
298.34,1.8644e-05,0.00076739,-0.0024337,0,0.001,0.003,0.0005
298,9.3621e-06,0,0,0,0,0.003,0.0005
298.67,3.2057e-05,0.0024571,-0.0045289,0,0.002,0.003,0.0005
298.99,3.3168e-05,0.0051922,-0.0063526,0,0.003,0.003,0.0005
299.3,1.7487e-05,0.0087344,-0.0078555,0,0.004,0.003,0.0005
299.59,-2.0244e-05,0.012874,-0.0089391,0,0.005,0.003,0.0005
299.86,-8.4263e-05,0.017385,-0.0095166,0,0.006,0.003,0.0005
300.1,-0.00017569,0.022024,-0.0095531,0,0.007,0.003,0.0005
300.32,-0.00029212,0.026564,-0.0090745,0,0.008,0.003,0.0005
300.52,-0.00042818,0.030811,-0.0081568,0,0.009,0.003,0.0005
300.69,-0.0005766,0.034616,-0.0069061,0,0.01,0.003,0.0005
300.83,-0.00072945,0.037873,-0.0054383,0,0.011,0.003,0.0005
300.96,-0.00087934,0.04052,-0.0038651,0,0.012,0.003,0.0005
301.06,-0.0010201,0.042528,-0.0022858,0,0.013,0.003,0.0005
301.14,-0.0011472,0.043893,-0.00077915,0,0.014,0.003,0.0005
301.22,-0.0012575,0.044629,0.00059596,0,0.015,0.003,0.0005
301.27,-0.00135,0.044773,0.0018015,0,0.016,0.003,0.0005
301.33,-0.0014246,0.044369,0.0028189,0,0.017,0.003,0.0005
301.37,-0.0014825,0.043472,0.0036387,0,0.018,0.003,0.0005
301.41,-0.0015253,0.042146,0.0042612,0,0.019,0.003,0.0005
301.44,-0.001555,0.040457,0.0046955,0,0.02,0.003,0.0005
301.48,-0.0015737,0.038474,0.0049567,0,0.021,0.003,0.0005
301.51,-0.0015835,0.036268,0.0050644,0,0.022,0.003,0.0005
301.54,-0.0015862,0.033909,0.005041,0,0.023,0.003,0.0005
301.57,-0.0015836,0.031463,0.0049097,0,0.024,0.003,0.0005
301.6,-0.0015771,0.028992,0.004694,0,0.025,0.003,0.0005
301.63,-0.0015678,0.026549,0.004416,0,0.026,0.003,0.0005
301.66,-0.0015568,0.024179,0.004096,0,0.027,0.003,0.0005
301.68,-0.0015448,0.02192,0.0037514,0,0.028,0.003,0.0005
301.71,-0.0015323,0.019797,0.0033968,0,0.029,0.003,0.0005
301.74,-0.0015197,0.017829,0.0030442,0,0.03,0.003,0.0005
301.76,-0.0015073,0.016027,0.0027028,0,0.031,0.003,0.0005
301.79,-0.0014953,0.014395,0.002379,0,0.032,0.003,0.0005
301.81,-0.0014839,0.012931,0.0020768,0,0.033,0.003,0.0005
301.84,-0.0014731,0.011631,0.0017983,0,0.034,0.003,0.0005
301.86,-0.0014629,0.010486,0.0015444,0,0.035,0.003,0.0005
301.88,-0.0014535,0.0094869,0.0013148,0,0.036,0.003,0.0005
301.9,-0.0014447,0.0086221,0.0011085,0,0.037,0.003,0.0005
301.92,-0.0014366,0.0078807,0.00092396,0,0.038,0.003,0.0005
301.95,-0.0014291,0.0072514,0.00075954,0,0.039,0.003,0.0005
301.96,-0.0014223,0.0067237,0.0006133,0,0.04,0.003,0.0005
301.98,-0.0014161,0.0062876,0.00048334,0,0.041,0.003,0.0005
302,-0.0014105,0.0059338,0.00036781,0,0.042,0.003,0.0005
302.02,-0.0014054,0.0056532,0.00026481,0,0.043,0.003,0.0005
302.04,-0.0014008,0.0054384,0.00017246,0,0.044,0.003,0.0005
302.05,-0.0013967,0.0052833,8.9359e-05,0,0.045,0.003,0.0005
302.07,-0.0013932,0.0051824,1.4526e-05,0,0.046,0.003,0.0005
302.09,-0.0013901,0.0051296,-5.3692e-05,0,0.047,0.003,0.0005
302.1,-0.0013875,0.0051198,-0.00011608,0,0.048,0.003,0.0005
302.12,-0.0013854,0.0051487,-0.00017249,0,0.049,0.003,0.0005
302.14,-0.0013837,0.0052128,-0.00022327,0,0.05,0.003,0.0005
302.15,-0.0013826,0.0053082,-0.00026867,0,0.051,0.003,0.0005
302.17,-0.001382,0.0054313,-0.00030884,0,0.052,0.003,0.0005
302.18,-0.0013819,0.0055785,-0.00034395,0,0.053,0.003,0.0005
302.19,-0.0013822,0.0057469,-0.00037412,0,0.054,0.003,0.0005
302.21,-0.0013831,0.0059332,-0.00039946,0,0.055,0.003,0.0005
302.22,-0.0013845,0.0061348,-0.00042007,0,0.056,0.003,0.0005
302.24,-0.0013864,0.0063487,-0.00043604,0,0.057,0.003,0.0005
302.25,-0.0013888,0.0065722,-0.00044748,0,0.058,0.003,0.0005
302.27,-0.0013917,0.0068028,-0.00045452,0,0.059,0.003,0.0005
302.28,-0.001395,0.0070378,-0.00045731,0,0.06,0.003,0.0005
302.29,-0.0013988,0.0072749,-0.00045607,0,0.061,0.003,0.0005
