"T","p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
298.26,3.5011e-06,0,0,0,0.001,0,0.0005
298.06,-9.9482e-09,0,0,0,0,0,0.0005
298.26,3.7847e-06,0.00037158,-0.0003707,0,0.001,0.001,0.0005
298,-7.2858e-07,0,0,0,0,0.001,0.0005
298.51,6.6749e-06,0,0,0,0.002,0,0.0005
298.52,8.666e-06,0.0012063,-0.00071897,0,0.002,0.001,0.0005
298.74,-3.1953e-07,0,0,0,0.003,0,0.0005
298.76,3.097e-06,0.0025762,-0.0010214,0,0.003,0.001,0.0005
298.97,-2.2144e-05,0,0,0,0.004,0,0.0005
298.99,-1.7141e-05,0.0043753,-0.0012695,0,0.004,0.001,0.0005
299.18,-6.3144e-05,0,0,0,0.005,0,0.0005
299.2,-5.6258e-05,0.0065086,-0.0014435,0,0.005,0.001,0.0005
299.37,-0.00012686,0,0,0,0.006,0,0.0005
299.4,-0.00011777,0.0088626,-0.00152,0,0.006,0.001,0.0005
299.55,-0.00021488,0,0,0,0.007,0,0.0005
299.58,-0.00020319,0.011301,-0.001485,0,0.007,0.001,0.0005
299.72,-0.00032623,0,0,0,0.008,0,0.0005
299.75,-0.00031146,0.01368,-0.00134,0,0.008,0.001,0.0005
299.87,-0.0004575,0,0,0,0.009,0,0.0005
299.91,-0.00043908,0.015869,-0.001101,0,0.009,0.001,0.0005
300.02,-0.00060336,0,0,0,0.01,0,0.0005
300.05,-0.00058066,0.017757,-0.00079446,0,0.01,0.001,0.0005
300.15,-0.00075741,0,0,0,0.011,0,0.0005
300.18,-0.00072976,0.019267,-0.00045221,0,0.011,0.001,0.0005
300.27,-0.00091311,0,0,0,0.012,0,0.0005
300.31,-0.00087985,0.020354,-0.00010515,0,0.012,0.001,0.0005
300.38,-0.0010639,0,0,0,0.013,0,0.0005
300.42,-0.0010249,0.021005,0.0002268,0,0.013,0.001,0.0005
300.49,-0.0012044,0,0,0,0.014,0,0.0005
300.52,-0.00116,0.021236,0.00053003,0,0.014,0.001,0.0005
300.59,-0.0013311,0,0,0,0.015,0,0.0005
300.61,-0.0012817,0.021084,0.00079257,0,0.015,0.001,0.0005
