"T","p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
298.03,8.9298e-07,0,0,0,0.001,0,0.0005
298.01,1.0655e-09,0,0,0,0,0,0.0005
298.03,5.0131e-07,5.5216e-05,-5.2358e-05,0,0.001,0.001,0.0005
298,-5.3525e-07,0,0,0,0,0.001,0.0005
298.07,2.3631e-06,0,0,0,0.002,0,0.0005
298.07,2.1519e-06,0.00019645,-0.00011513,0,0.002,0.001,0.0005
298.1,2.8381e-06,0,0,0,0.003,0,0.0005
298.1,2.6863e-06,0.00043619,-0.00016893,0,0.003,0.001,0.0005
298.13,1.7383e-06,0,0,0,0.004,0,0.0005
298.13,1.6692e-06,0.00075376,-0.00021179,0,0.004,0.001,0.0005
298.16,-1.3329e-06,0,0,0,0.005,0,0.0005
298.16,-1.2442e-06,0.0011338,-0.00024476,0,0.005,0.001,0.0005
298.19,-6.7004e-06,0,0,0,0.006,0,0.0005
298.19,-6.3749e-06,0.0015627,-0.0002681,0,0.006,0.001,0.0005
298.22,-1.4595e-05,0,0,0,0.007,0,0.0005
298.22,-1.3954e-05,0.0020265,-0.00028165,0,0.007,0.001,0.0005
298.25,-2.5141e-05,0,0,0,0.008,0,0.0005
298.25,-2.4106e-05,0.0025108,-0.0002852,0,0.008,0.001,0.0005
298.27,-3.8354e-05,0,0,0,0.009,0,0.0005
298.27,-3.6847e-05,0.0030009,-0.00027884,0,0.009,0.001,0.0005
298.3,-5.4129e-05,0,0,0,0.01,0,0.0005
298.3,-5.2077e-05,0.0034828,-0.00026303,0,0.01,0.001,0.0005
298.32,-7.2253e-05,0,0,0,0.011,0,0.0005
298.32,-6.9588e-05,0.0039431,-0.00023869,0,0.011,0.001,0.0005
298.34,-9.2412e-05,0,0,0,0.012,0,0.0005
298.34,-8.9073e-05,0.0043703,-0.00020712,0,0.012,0.001,0.0005
298.36,-0.00011422,0,0,0,0.013,0,0.0005
298.36,-0.00011015,0.0047543,-0.00016992,0,0.013,0.001,0.0005
298.38,-0.00013723,0,0,0,0.014,0,0.0005
298.38,-0.0001324,0.0050874,-0.00012889,0,0.014,0.001,0.0005
