"T","p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
298.16,2.6405e-06,0,0,0,0.001,0,0.0005
298.04,-1.5356e-09,0,0,0,0,0,0.0005
298.16,2.3822e-06,0.00024922,-0.00024484,0,0.001,0.001,0.0005
298,-9.0495e-07,0,0,0,0,0.001,0.0005
298.32,5.6158e-06,0,0,0,0.002,0,0.0005
298.33,6.3936e-06,0.00081714,-0.00048239,0,0.002,0.001,0.0005
298.47,2.4159e-06,0,0,0,0.003,0,0.0005
298.48,3.9826e-06,0.0017499,-0.00068437,0,0.003,0.001,0.0005
298.62,-9.7102e-06,0,0,0,0.004,0,0.0005
298.63,-7.226e-06,0.0029718,-0.00084827,0,0.004,0.001,0.0005
298.75,-3.3145e-05,0,0,0,0.005,0,0.0005
298.76,-2.9496e-05,0.0044214,-0.0009679,0,0.005,0.001,0.0005
298.88,-6.9928e-05,0,0,0,0.006,0,0.0005
298.89,-6.4855e-05,0.0060318,-0.0010327,0,0.006,0.001,0.0005
299,-0.0001212,0,0,0,0.007,0,0.0005
299.01,-0.00011442,0.007724,-0.0010346,0,0.007,0.001,0.0005
299.11,-0.0001869,0,0,0,0.008,0,0.0005
299.13,-0.0001781,0.009413,-0.00097202,0,0.008,0.001,0.0005
299.21,-0.00026572,0,0,0,0.009,0,0.0005
299.23,-0.00025456,0.011017,-0.00085031,0,0.009,0.001,0.0005
299.31,-0.00035524,0,0,0,0.01,0,0.0005
299.33,-0.00034138,0.012462,-0.00068066,0,0.01,0.001,0.0005
299.4,-0.00045225,0,0,0,0.011,0,0.0005
299.42,-0.00043538,0.013693,-0.00047814,0,0.011,0.001,0.0005
299.49,-0.0005532,0,0,0,0.012,0,0.0005
299.5,-0.000533,0.014668,-0.00025939,0,0.012,0.001,0.0005
299.56,-0.00065449,0,0,0,0.013,0,0.0005
299.58,-0.00063073,0.015366,-3.9884e-05,0,0.013,0.001,0.0005
299.64,-0.00075269,0,0,0,0.014,0,0.0005
299.65,-0.00072535,0.015785,0.00016952,0,0.014,0.001,0.0005
299.71,-0.000845,0,0,0,0.015,0,0.0005
299.72,-0.00081422,0.015933,0.00036061,0,0.015,0.001,0.0005
299.77,-0.00092946,0,0,0,0.016,0,0.0005
299.78,-0.00089544,0.015835,0.00052657,0,0.016,0.001,0.0005
299.83,-0.0010047,0,0,0,0.017,0,0.0005
299.84,-0.00096776,0.01552,0.00066407,0,0.017,0.001,0.0005
299.88,-0.0010702,0,0,0,0.018,0,0.0005
299.89,-0.0010306,0.015022,0.00077157,0,0.018,0.001,0.0005
299.93,-0.0011259,0,0,0,0.019,0,0.0005
299.94,-0.0010838,0.014378,0.00084907,0,0.019,0.001,0.0005
299.98,-0.001172,0,0,0,0.02,0,0.0005
299.99,-0.0011279,0.013625,0.00089899,0,0.02,0.001,0.0005
