"T","p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
298.09,1.8717e-06,0,0,0,0.001,0,0.0005
298.02,1.2998e-09,0,0,0,0,0,0.0005
298.1,1.3966e-06,0.00015284,-0.00014818,0,0.001,0.001,0.0005
298,-8.6237e-07,0,0,0,0,0.001,0.0005
298.19,4.3662e-06,0,0,0,0.002,0,0.0005
298.19,4.4687e-06,0.0005116,-0.00030007,0,0.002,0.001,0.0005
298.28,3.4424e-06,0,0,0,0.003,0,0.0005
298.28,3.9193e-06,0.0011045,-0.00042787,0,0.003,0.001,0.0005
298.37,-2.4469e-06,0,0,0,0.004,0,0.0005
298.37,-1.5141e-06,0.0018812,-0.00053031,0,0.004,0.001,0.0005
298.45,-1.4531e-05,0,0,0,0.005,0,0.0005
298.45,-1.2967e-05,0.0028037,-0.00060703,0,0.005,0.001,0.0005
298.52,-3.3879e-05,0,0,0,0.006,0,0.0005
298.53,-3.1503e-05,0.0038343,-0.00065464,0,0.006,0.001,0.0005
298.6,-6.1179e-05,0,0,0,0.007,0,0.0005
298.6,-5.78e-05,0.0049304,-0.00066971,0,0.007,0.001,0.0005
298.67,-9.6613e-05,0,0,0,0.008,0,0.0005
298.67,-9.2035e-05,0.0060459,-0.00065081,0,0.008,0.001,0.0005
298.73,-0.00013981,0,0,0,0.009,0,0.0005
298.74,-0.00013383,0.0071348,-0.00059918,0,0.009,0.001,0.0005
298.79,-0.00018987,0,0,0,0.01,0,0.0005
298.8,-0.0001823,0.0081546,-0.00051871,0,0.01,0.001,0.0005
298.85,-0.00024545,0,0,0,0.011,0,0.0005
298.86,-0.0002361,0.0090684,-0.00041546,0,0.011,0.001,0.0005
298.9,-0.00030491,0,0,0,0.012,0,0.0005
298.91,-0.00029362,0.0098475,-0.00029683,0,0.012,0.001,0.0005
298.95,-0.00036647,0,0,0,0.013,0,0.0005
298.96,-0.0003531,0.010472,-0.0001708,0,0.013,0.001,0.0005
299,-0.00042838,0,0,0,0.014,0,0.0005
299.01,-0.00041281,0.010932,-4.4747e-05,0,0.014,0.001,0.0005
299.05,-0.0004889,0,0,0,0.015,0,0.0005
299.05,-0.00047114,0.011224,7.6483e-05,0,0.015,0.001,0.0005
299.09,-0.00054656,0,0,0,0.016,0,0.0005
299.1,-0.00052674,0.011354,0.00018911,0,0.016,0.001,0.0005
299.13,-0.00060034,0,0,0,0.017,0,0.0005
299.13,-0.00057855,0.011335,0.00028931,0,0.017,0.001,0.0005
299.16,-0.00064943,0,0,0,0.018,0,0.0005
299.17,-0.00062583,0.011181,0.00037506,0,0.018,0.001,0.0005
299.2,-0.00069335,0,0,0,0.019,0,0.0005
299.2,-0.00066812,0.010911,0.00044553,0,0.019,0.001,0.0005
299.23,-0.00073193,0,0,0,0.02,0,0.0005
299.24,-0.00070526,0.010545,0.00050025,0,0.02,0.001,0.0005
299.26,-0.00076523,0,0,0,0.021,0,0.0005
299.27,-0.00073727,0.010104,0.00053971,0,0.021,0.001,0.0005
299.29,-0.00079344,0,0,0,0.022,0,0.0005
299.29,-0.00076436,0.0096058,0.00056528,0,0.022,0.001,0.0005
299.32,-0.00081689,0,0,0,0.023,0,0.0005
299.32,-0.00078687,0.0090694,0.00057879,0,0.023,0.001,0.0005
299.34,-0.00083601,0,0,0,0.024,0,0.0005
299.34,-0.0008052,0.008511,0.00058218,0,0.024,0.001,0.0005
299.36,-0.00085124,0,0,0,0.025,0,0.0005
299.37,-0.0008198,0.0079444,0.00057737,0,0.025,0.001,0.0005
299.39,-0.0008631,0,0,0,0.026,0,0.0005
299.39,-0.00083114,0.0073814,0.00056614,0,0.026,0.001,0.0005
299.41,-0.00087204,0,0,0,0.027,0,0.0005
299.41,-0.00083969,0.0068317,0.0005501,0,0.027,0.001,0.0005
299.43,-0.00087854,0,0,0,0.028,0,0.0005
299.43,-0.00084587,0.0063025,0.00053066,0,0.028,0.001,0.0005
299.45,-0.000883,0,0,0,0.029,0,0.0005
299.45,-0.0008501,0.0057995,0.00050901,0,0.029,0.001,0.0005
299.46,-0.0008858,0,0,0,0.03,0,0.0005
299.46,-0.00085272,0.0053265,0.00048623,0,0.03,0.001,0.0005
299.48,-0.00088726,0,0,0,0.031,0,0.0005
299.48,-0.00085406,0.0048859,0.0004634,0,0.031,0.001,0.0005
299.49,-0.00088765,0,0,0,0.032,0,0.0005
299.49,-0.00085439,0.0044789,0.00044128,0,0.032,0.001,0.0005
299.51,-0.00088722,0,0,0,0.033,0,0.0005
299.51,-0.00085394,0.0041059,0.00042015,0,0.033,0.001,0.0005
299.52,-0.00088621,0,0,0,0.034,0,0.0005
299.52,-0.00085291,0.0037662,0.00040014,0,0.034,0.001,0.0005
299.54,-0.00088477,0,0,0,0.035,0,0.0005
299.54,-0.00085147,0.003459,0.00038135,0,0.035,0.001,0.0005
299.55,-0.00088305,0,0,0,0.036,0,0.0005
299.55,-0.00084975,0.0031827,0.00036387,0,0.036,0.001,0.0005
299.56,-0.00088115,0,0,0,0.037,0,0.0005
299.56,-0.00084786,0.0029356,0.00034776,0,0.037,0.001,0.0005
299.57,-0.00087918,0,0,0,0.038,0,0.0005
299.57,-0.00084588,0.002716,0.00033301,0,0.038,0.001,0.0005
299.58,-0.00087719,0,0,0,0.039,0,0.0005
299.58,-0.00084389,0.0025218,0.00031957,0,0.039,0.001,0.0005
299.59,-0.00087525,0,0,0,0.04,0,0.0005
299.59,-0.00084194,0.0023513,0.0003074,0,0.04,0.001,0.0005
299.6,-0.00087339,0,0,0,0.041,0,0.0005
299.6,-0.00084007,0.0022023,0.00029641,0,0.041,0.001,0.0005
299.61,-0.00087165,0,0,0,0.042,0,0.0005
299.61,-0.00083831,0.0020733,0.00028652,0,0.042,0.001,0.0005
299.62,-0.00087006,0,0,0,0.043,0,0.0005
299.62,-0.00083669,0.0019624,0.00027764,0,0.043,0.001,0.0005
299.63,-0.00086862,0,0,0,0.044,0,0.0005
